,Unnamed: 0,ID,AGEGRP,FIPS_x,YEAR,STATE,COUNTY,STNAME,CTYNAME,AA_FEMALE,AA_MALE,BA_FEMALE,BA_MALE,H_FEMALE,H_MALE,IA_FEMALE,IA_MALE,NA_FEMALE,NA_MALE,SUMLEV,TOT_FEMALE,TOT_MALE,TOT_POP,WA_FEMALE,WA_MALE,TOT_POP_LESS19,TOT_MALE_LESS19,TOT_FEMALE_LESS19,TOT_POP_20to39,TOT_MALE_20to39,TOT_FEMALE_20to39,TOT_POP_40to59,TOT_MALE_40to59,TOT_FEMALE_40to59,TOT_POP_Above60,TOT_MALE_Above60,TOT_FEMALE_Above60,republican_candidate,democrat_candidate,republican_votes,democrat_votes,county_totalvotes,winning candidate,winning party,avg_wage_salary,AA_FEMALE%,AA_MALE%,BA_FEMALE%,BA_MALE%,H_FEMALE%,H_MALE%,IA_FEMALE%,IA_MALE%,NA_FEMALE%,NA_MALE%,WA_FEMALE%,WA_MALE%,TOT_FEMALE%,TOT_MALE%,TOT_POP_LESS19%,TOT_POP_20to39%,TOT_POP_40to59%,TOT_POP_Above60%,Unemployment_Rate,winning_party_binary
316,316,20161001,Total,1001,2016,1,1,Alabama,Autauga County,337,237,5298,4807,697,733,153,125,18,32,50,28092,26784,54876,21841,21085,14950,7687,7263,13760,6775,6985,15715,7623,8092,10451,4699,5752,Donald Trump,Hillary Clinton,18172.0,5936.0,24973.0,Donald Trump,republican,36564.0,0.006141118157300095,0.004318827902908376,0.0965449376776733,0.08759749252860996,0.012701363073110284,0.013357387564691304,0.0027881040892193307,0.002277862817989649,0.0003280122457905095,0.0005831328814053503,0.3980064144616953,0.3842299001384941,0.5119177782637219,0.4880822217362781,0.2724323930315621,0.2507471390043006,0.2863729134776587,0.1904475544864786,5.1,1
317,317,20161003,Total,1003,2016,1,3,Alabama,Baldwin County,1154,751,9602,9142,4110,4566,749,758,55,59,50,102034,97155,199189,88807,84896,48612,24596,24016,45459,22648,22811,55015,26533,28482,50103,23378,26725,Donald Trump,Hillary Clinton,72883.0,18458.0,95215.0,Donald Trump,republican,69804.0,0.0057934926125438645,0.0037702885199483904,0.04820547319380086,0.0458961087208631,0.02063366952994392,0.022922952572682228,0.003760247804848661,0.003805431022797444,0.0002761196652425586,0.00029620109544201736,0.4458428929308345,0.4262082745533137,0.5122471622428949,0.487752837757105,0.24404962121402285,0.2282204338592995,0.27619497060580656,0.25153497432087113,5.3,1
318,318,20161005,Total,1005,2016,1,5,Alabama,Barbour County,55,60,6041,6782,497,641,66,92,15,27,50,12514,14244,26758,6236,7139,6200,3109,3091,7215,4444,2771,7207,3947,3260,6136,2744,3392,Donald Trump,Hillary Clinton,5454.0,4871.0,10469.0,Donald Trump,republican,70238.0,0.0020554600493310413,0.0022423200538156814,0.2257642574183422,0.25345691008296584,0.018573884445773226,0.023955452574930862,0.002466552059197249,0.003438224082517378,0.0005605800134539205,0.0010090440242170565,0.23305179759324315,0.2667987144031692,0.4676732192241573,0.5323267807758427,0.2317064055609537,0.2696389864713357,0.26934001046416023,0.22931459750355035,8.3,1
319,319,20161007,Total,1007,2016,1,7,Alabama,Bibb County,23,15,1817,3071,196,290,38,44,4,23,50,10402,12139,22541,8414,8889,5179,2766,2413,6237,3716,2521,6485,3513,2972,4640,2144,2496,Donald Trump,Hillary Clinton,6738.0,1874.0,8819.0,Donald Trump,republican,79056.0,0.0010203628942815313,0.0006654540614879552,0.08060866864824097,0.13624062818863406,0.008695266403442616,0.012865445188767135,0.0016858169557694867,0.0019519985803646688,0.00017745441639678807,0.0010203628942815313,0.3732753648906437,0.3943480768377623,0.4614702098398474,0.5385297901601526,0.22975910562974136,0.2766957987666918,0.28769797258329266,0.20584712302027414,6.4,1
320,320,20161009,Total,1009,2016,1,9,Alabama,Blount County,93,73,418,485,2301,2718,164,183,24,39,50,29152,28369,57521,28022,27283,14846,7504,7342,13550,6830,6720,15813,7950,7863,13312,6085,7227,Donald Trump,Hillary Clinton,22859.0,2156.0,25588.0,Donald Trump,republican,66760.0,0.0016168008205698788,0.0012691017193720553,0.007266911215034509,0.008431703204047217,0.04000278159280958,0.0472523078527842,0.002851132629822152,0.003181446775960084,0.00041723892143738815,0.0006780132473357557,0.4871612106882704,0.4743137288990108,0.5068062099059474,0.4931937900940526,0.2580970428191443,0.2355661410615253,0.27490829436205905,0.23142852175727124,5.4,1
321,321,20161011,Total,1011,2016,1,11,Alabama,Bullock County,10,15,3623,3950,340,407,52,38,34,40,50,4838,5827,10665,1071,1720,2444,1278,1166,3000,1824,1176,2987,1693,1294,2234,1032,1202,Donald Trump,Hillary Clinton,1140.0,3530.0,4710.0,Hillary Clinton,democrat,29938.0,0.0009376465072667604,0.0014064697609001409,0.3397093295827473,0.3703703703703704,0.03187998124706985,0.03816221284575715,0.004875761837787154,0.00356305672761369,0.0031879981247069857,0.0037505860290670424,0.10042194092827003,0.1612751992498828,0.4536333802156587,0.5463666197843413,0.22916080637599626,0.2812939521800281,0.28007501172058136,0.20947022972339427,6.8,0
322,322,20161013,Total,1013,2016,1,13,Alabama,Butler County,106,126,4968,4039,115,134,31,34,5,5,50,10894,9449,20343,5690,5156,5145,2670,2475,4873,2229,2644,5221,2395,2826,5104,2155,2949,Donald Trump,Hillary Clinton,4901.0,3726.0,8732.0,Donald Trump,republican,266456.0,0.005210637565747431,0.006193776729096004,0.2442117681757853,0.19854495403824413,0.005653050189254289,0.006587032394435433,0.0015238657031902865,0.0016713365776925724,0.00024578479083714304,0.00024578479083714304,0.27970309197266874,0.25345327631126185,0.5355159022759671,0.4644840977240328,0.2529125497714201,0.2395418571498796,0.25664847859214474,0.25089711448655555,6.9,1
323,323,20161015,Total,1015,2016,1,15,Alabama,Calhoun County,626,427,13025,11248,1859,2144,276,301,53,68,50,60221,55774,115995,45220,42743,28688,14714,13974,30363,14800,15563,30927,14951,15976,26017,11309,14708,Donald Trump,Hillary Clinton,32865.0,13242.0,47864.0,Donald Trump,republican,411653.0,0.005396784344152765,0.003681193154877365,0.1122893228156386,0.09696969696969696,0.01602655286865813,0.018483555325660588,0.0023794129057286948,0.0025949394370447,0.0004569162463899307,0.0005862321651795336,0.38984438984438985,0.3684900211216001,0.5191689296952455,0.4808310703047545,0.24732100521574205,0.2617612828139144,0.26662356136040344,0.2242941506099401,6.5,1
324,324,20161017,Total,1017,2016,1,17,Alabama,Chambers County,153,213,7186,6287,275,407,43,43,6,13,50,17694,16286,33980,10118,9559,8010,4113,3897,8012,3907,4105,9462,4581,4881,8496,3685,4811,Donald Trump,Hillary Clinton,7843.0,5784.0,13900.0,Donald Trump,republican,70576.0,0.004502648616833431,0.0062683931724543855,0.2114773396115362,0.1850206003531489,0.008092995879929371,0.011977633902295469,0.0012654502648616836,0.0012654502648616836,0.00017657445556209535,0.00038257798705120666,0.2977633902295468,0.2813125367863449,0.5207180694526192,0.4792819305473808,0.2357268981753973,0.2357857563272513,0.2784579164214244,0.250029429075927,5.4,1
325,325,20161019,Total,1019,2016,1,19,Alabama,Cherokee County,47,28,549,569,197,186,61,79,3,5,50,13007,12895,25902,12147,12013,5829,2997,2832,5352,2702,2650,7432,3758,3674,7289,3438,3851,Donald Trump,Hillary Clinton,8953.0,1547.0,10733.0,Donald Trump,republican,265312.0,0.0018145316963941011,0.0010809976063624429,0.0211952744961779,0.021967415643579645,0.007605590301907187,0.00718091267083623,0.0023550304995753227,0.003049957532236893,0.00011582117211026177,0.00019303528685043624,0.4689599258744498,0.4637865801868581,0.5021619952127249,0.4978380047872751,0.22504053741023855,0.20662497104470695,0.2869276503744885,0.281406841170566,5.0,1
