SUMLEV,STATE,COUNTY,FIPStxt,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,H_MALE,H_FEMALE
50,24,1,24001,Maryland,Allegany County,1,0,732,391,341,365,317,12,20,1,1,1,0,0,0,3,2
50,24,1,24001,Maryland,Allegany County,1,1,3024,1572,1452,1455,1353,57,42,2,3,13,12,0,0,12,16
50,24,1,24001,Maryland,Allegany County,1,2,4174,2142,2032,2014,1936,74,52,4,4,7,11,1,0,17,13
50,24,1,24001,Maryland,Allegany County,1,3,4572,2376,2196,2247,2094,71,60,6,3,23,16,0,1,13,13
50,24,1,24001,Maryland,Allegany County,1,4,5556,2711,2845,2445,2606,210,183,8,2,18,20,1,1,23,35
50,24,1,24001,Maryland,Allegany County,1,5,5742,3033,2709,2572,2497,411,157,6,7,14,20,4,3,54,32
50,24,1,24001,Maryland,Allegany County,1,6,4361,2451,1910,1903,1842,522,33,4,2,13,21,0,0,46,9
50,24,1,24001,Maryland,Allegany County,1,7,4925,2833,2092,2233,2020,573,47,6,4,12,8,0,1,54,11
50,24,1,24001,Maryland,Allegany County,1,8,5383,2902,2481,2449,2413,429,43,5,4,13,14,0,0,33,12
50,24,1,24001,Maryland,Allegany County,1,9,5398,2845,2553,2527,2473,287,36,3,7,18,28,0,0,41,9
50,24,1,24001,Maryland,Allegany County,1,10,5045,2587,2458,2362,2380,199,55,7,5,13,10,0,0,22,13
50,24,1,24001,Maryland,Allegany County,1,11,4836,2429,2407,2274,2350,123,34,5,2,17,14,2,1,18,6
50,24,1,24001,Maryland,Allegany County,1,12,4060,1991,2069,1904,2025,70,30,2,1,8,4,0,1,8,6
50,24,1,24001,Maryland,Allegany County,1,13,3673,1736,1937,1684,1894,30,21,3,7,13,10,1,0,5,6
50,24,1,24001,Maryland,Allegany County,1,14,3300,1513,1787,1482,1756,19,25,0,1,6,1,0,1,5,2
50,24,1,24001,Maryland,Allegany County,1,15,3459,1485,1974,1461,1942,15,20,3,0,1,5,1,0,7,4
50,24,1,24001,Maryland,Allegany County,1,16,2927,1170,1757,1151,1728,12,25,1,0,4,1,0,0,4,5
50,24,1,24001,Maryland,Allegany County,1,17,2075,717,1358,704,1333,10,11,0,4,1,2,0,0,2,1
50,24,1,24001,Maryland,Allegany County,1,18,1667,423,1244,416,1232,7,11,0,1,0,0,0,0,1,7
50,24,1,24001,Maryland,Allegany County,1,99,74909,37307,37602,33648,36191,3131,905,66,58,195,197,10,9,368,202
50,24,1,24001,Maryland,Allegany County,2,0,732,390,342,366,318,12,20,1,1,1,0,0,0,3,2
