year,state,state_po,county,FIPS,republican_candidate,democrat_candidate,republican_votes,democrat_votes,county_totalvotes,winning candidate,winning party
2000,Alaska,AK,District 1,2001,George W. Bush,Al Gore,4681,1284,6656,George W. Bush,republican
2000,Alaska,AK,District 2,2002,George W. Bush,Al Gore,4235,2081,7388,George W. Bush,republican
2000,Alaska,AK,District 3,2003,George W. Bush,Al Gore,3135,3693,8225,Al Gore,democrat
2000,Alaska,AK,District 4,2004,George W. Bush,Al Gore,4127,2715,7823,George W. Bush,republican
2000,Alaska,AK,District 5,2005,George W. Bush,Al Gore,3545,1931,6437,George W. Bush,republican
2000,Alaska,AK,District 6,2006,George W. Bush,Al Gore,3862,1542,6100,George W. Bush,republican
2000,Alaska,AK,District 7,2007,George W. Bush,Al Gore,4868,1893,8677,George W. Bush,republican
2000,Alaska,AK,District 8,2008,George W. Bush,Al Gore,5371,1498,7978,George W. Bush,republican
2000,Alaska,AK,District 9,2009,George W. Bush,Al Gore,4789,1203,6800,George W. Bush,republican
2000,Alaska,AK,District 10,2010,George W. Bush,Al Gore,5673,2194,8884,George W. Bush,republican
2000,Alaska,AK,District 11,2011,George W. Bush,Al Gore,3960,2043,6980,George W. Bush,republican
2000,Alaska,AK,District 12,2012,George W. Bush,Al Gore,4626,2051,7601,George W. Bush,republican
2000,Alaska,AK,District 13,2013,George W. Bush,Al Gore,3853,2661,7943,George W. Bush,republican
2000,Alaska,AK,District 14,2014,George W. Bush,Al Gore,3750,1626,5868,George W. Bush,republican
2000,Alaska,AK,District 15,2015,George W. Bush,Al Gore,2453,2106,5870,George W. Bush,republican
2000,Alaska,AK,District 16,2016,George W. Bush,Al Gore,1980,1969,4685,George W. Bush,republican
2000,Alaska,AK,District 17,2017,George W. Bush,Al Gore,4564,2230,7704,George W. Bush,republican
2000,Alaska,AK,District 18,2018,George W. Bush,Al Gore,5421,2739,9882,George W. Bush,republican
2000,Alaska,AK,District 19,2019,George W. Bush,Al Gore,4619,2350,7951,George W. Bush,republican
2000,Alaska,AK,District 20,2020,George W. Bush,Al Gore,3648,2259,6963,George W. Bush,republican
2000,Alaska,AK,District 21,2021,George W. Bush,Al Gore,3263,2309,6629,George W. Bush,republican
2000,Alaska,AK,District 22,2022,George W. Bush,Al Gore,4910,2656,8525,George W. Bush,republican
2000,Alaska,AK,District 23,2023,George W. Bush,Al Gore,2961,1282,4630,George W. Bush,republican
2000,Alaska,AK,District 24,2024,George W. Bush,Al Gore,5063,1985,7915,George W. Bush,republican
2000,Alaska,AK,District 25,2025,George W. Bush,Al Gore,5489,1697,8201,George W. Bush,republican
2000,Alaska,AK,District 26,2026,George W. Bush,Al Gore,5869,1608,8590,George W. Bush,republican
2000,Alaska,AK,District 27,2027,George W. Bush,Al Gore,6714,2199,10438,George W. Bush,republican
2000,Alaska,AK,District 28,2028,George W. Bush,Al Gore,7113,2116,11040,George W. Bush,republican
2000,Alaska,AK,District 29,2029,George W. Bush,Al Gore,4054,2806,8823,George W. Bush,republican
2000,Alaska,AK,District 30,2030,George W. Bush,Al Gore,3622,1698,6083,George W. Bush,republican
2000,Alaska,AK,District 31,2031,George W. Bush,Al Gore,3326,1831,5965,George W. Bush,republican
2000,Alaska,AK,District 32,2032,George W. Bush,Al Gore,4178,1389,6033,George W. Bush,republican
2000,Alaska,AK,District 33,2033,George W. Bush,Al Gore,5804,1765,8712,George W. Bush,republican
2000,Alaska,AK,District 34,2034,George W. Bush,Al Gore,5243,1300,7154,George W. Bush,republican
2000,Alaska,AK,District 35,2035,George W. Bush,Al Gore,4278,1208,6382,George W. Bush,republican
2000,Alaska,AK,District 36,2036,George W. Bush,Al Gore,3007,1945,5577,George W. Bush,republican
2000,Alaska,AK,District 37,2037,George W. Bush,Al Gore,2725,1821,5028,George W. Bush,republican
2000,Alaska,AK,District 38,2038,George W. Bush,Al Gore,2467,2015,4976,George W. Bush,republican
2000,Alaska,AK,District 39,2039,George W. Bush,Al Gore,2321,2282,5188,George W. Bush,republican
2000,Alaska,AK,District 40,2040,George W. Bush,Al Gore,1831,1024,3226,George W. Bush,republican
2000,Alaska,NA,District 99,2099,George W. Bush,Al Gore,0,0,0,Al Gore,democrat
2000,Alabama,AL,Autauga,1001,George W. Bush,Al Gore,11993,4942,17208,George W. Bush,republican
2000,Alabama,AL,Baldwin,1003,George W. Bush,Al Gore,40872,13997,56480,George W. Bush,republican
2000,Alabama,AL,Barbour,1005,George W. Bush,Al Gore,5096,5188,10395,Al Gore,democrat
2000,Alabama,AL,Bibb,1007,George W. Bush,Al Gore,4273,2710,7101,George W. Bush,republican
2000,Alabama,AL,Blount,1009,George W. Bush,Al Gore,12667,4977,17973,George W. Bush,republican
2000,Alabama,AL,Bullock,1011,George W. Bush,Al Gore,1433,3395,4904,Al Gore,democrat
2000,Alabama,AL,Butler,1013,George W. Bush,Al Gore,4127,3606,7803,George W. Bush,republican
2000,Alabama,AL,Calhoun,1015,George W. Bush,Al Gore,22306,15781,38909,George W. Bush,republican
2000,Alabama,AL,Chambers,1017,George W. Bush,Al Gore,6037,5616,11834,George W. Bush,republican
2000,Alabama,AL,Cherokee,1019,George W. Bush,Al Gore,4154,3497,7823,George W. Bush,republican
2000,Alabama,AL,Chilton,1021,George W. Bush,Al Gore,10066,4806,15092,George W. Bush,republican
2000,Alabama,AL,Choctaw,1023,George W. Bush,Al Gore,3600,3707,7374,Al Gore,democrat
2000,Alabama,AL,Clarke,1025,George W. Bush,Al Gore,5988,4679,10752,George W. Bush,republican
2000,Alabama,AL,Clay,1027,George W. Bush,Al Gore,3719,2045,5883,George W. Bush,republican
2000,Alabama,AL,Cleburne,1029,George W. Bush,Al Gore,3333,1664,5092,George W. Bush,republican
2000,Alabama,AL,Coffee,1031,George W. Bush,Al Gore,9938,5220,15434,George W. Bush,republican
2000,Alabama,AL,Colbert,1033,George W. Bush,Al Gore,10518,10543,21532,Al Gore,democrat
2000,Alabama,AL,Conecuh,1035,George W. Bush,Al Gore,2699,2783,5551,Al Gore,democrat
2000,Alabama,AL,Coosa,1037,George W. Bush,Al Gore,2382,2104,4567,George W. Bush,republican
2000,Alabama,AL,Covington,1039,George W. Bush,Al Gore,8961,4440,13613,George W. Bush,republican
2000,Alabama,AL,Crenshaw,1041,George W. Bush,Al Gore,2793,1934,4795,George W. Bush,republican
2000,Alabama,AL,Cullman,1043,George W. Bush,Al Gore,19157,9758,29525,George W. Bush,republican
2000,Alabama,AL,Dale,1045,George W. Bush,Al Gore,10593,4906,15806,George W. Bush,republican
2000,Alabama,AL,Dallas,1047,George W. Bush,Al Gore,7360,10967,18464,Al Gore,democrat
2000,Alabama,AL,DeKalb,1049,George W. Bush,Al Gore,12827,7056,20285,George W. Bush,republican
2000,Alabama,AL,Elmore,1051,George W. Bush,Al Gore,16777,6652,23804,George W. Bush,republican
2000,Alabama,AL,Escambia,1053,George W. Bush,Al Gore,6975,4523,11660,George W. Bush,republican
2000,Alabama,AL,Etowah,1055,George W. Bush,Al Gore,21087,17433,39348,George W. Bush,republican
2000,Alabama,AL,Fayette,1057,George W. Bush,Al Gore,4582,3064,7808,George W. Bush,republican
2000,Alabama,AL,Franklin,1059,George W. Bush,Al Gore,6119,4793,11103,George W. Bush,republican
2000,Alabama,AL,Geneva,1061,George W. Bush,Al Gore,6588,2769,9559,George W. Bush,republican
2000,Alabama,AL,Greene,1063,George W. Bush,Al Gore,850,3504,4396,Al Gore,democrat
2000,Alabama,AL,Hale,1065,George W. Bush,Al Gore,2984,4652,7731,Al Gore,democrat
2000,Alabama,AL,Henry,1067,George W. Bush,Al Gore,4054,2782,6932,George W. Bush,republican
2000,Alabama,AL,Houston,1069,George W. Bush,Al Gore,22150,9412,32057,George W. Bush,republican
2000,Alabama,AL,Jackson,1071,George W. Bush,Al Gore,8475,9066,17906,Al Gore,democrat
2000,Alabama,AL,Jefferson,1073,George W. Bush,Al Gore,138491,129889,273763,George W. Bush,republican
2000,Alabama,AL,Lamar,1075,George W. Bush,Al Gore,4470,2653,7249,George W. Bush,republican
2000,Alabama,AL,Lauderdale,1077,George W. Bush,Al Gore,17478,13875,32137,George W. Bush,republican
2000,Alabama,AL,Lawrence,1079,George W. Bush,Al Gore,5671,6296,12185,Al Gore,democrat
2000,Alabama,AL,Lee,1081,George W. Bush,Al Gore,22433,14574,38264,George W. Bush,republican
2000,Alabama,AL,Limestone,1083,George W. Bush,Al Gore,14204,8992,23634,George W. Bush,republican
2000,Alabama,AL,Lowndes,1085,George W. Bush,Al Gore,1638,4557,6243,Al Gore,democrat
2000,Alabama,AL,Macon,1087,George W. Bush,Al Gore,1091,7665,8831,Al Gore,democrat
2000,Alabama,AL,Madison,1089,George W. Bush,Al Gore,62151,48199,113318,George W. Bush,republican
2000,Alabama,AL,Marengo,1091,George W. Bush,Al Gore,4690,4841,9608,Al Gore,democrat
2000,Alabama,AL,Marion,1093,George W. Bush,Al Gore,6910,4600,11756,George W. Bush,republican
2000,Alabama,AL,Marshall,1095,George W. Bush,Al Gore,17084,10381,27989,George W. Bush,republican
2000,Alabama,AL,Mobile,1097,George W. Bush,Al Gore,78162,58640,139745,George W. Bush,republican
2000,Alabama,AL,Monroe,1099,George W. Bush,Al Gore,5153,3741,8951,George W. Bush,republican
2000,Alabama,AL,Montgomery,1101,George W. Bush,Al Gore,38827,40371,80328,Al Gore,democrat
2000,Alabama,AL,Morgan,1103,George W. Bush,Al Gore,25774,16060,42681,George W. Bush,republican
2000,Alabama,AL,Perry,1105,George W. Bush,Al Gore,1732,4020,5787,Al Gore,democrat
2000,Alabama,AL,Pickens,1107,George W. Bush,Al Gore,4306,4143,8540,George W. Bush,republican
2000,Alabama,AL,Pike,1109,George W. Bush,Al Gore,6058,4357,10544,George W. Bush,republican
