Start Date,End Date,Approving,Disapproving,Unsure/NoData,President
16055,16055,65,23,10,Franklin D. Roosevelt
15789,15789,71,19,8,Franklin D. Roosevelt
15733,15733,75,16,7,Franklin D. Roosevelt
15713,15713,75,14,9,Franklin D. Roosevelt
15662,15662,72,18,8,Franklin D. Roosevelt
15587,15587,74,18,6,Franklin D. Roosevelt
15566,15566,74,16,8,Franklin D. Roosevelt
15523,15523,79,12,8,Franklin D. Roosevelt
15501,15501,77,15,6,Franklin D. Roosevelt
15412,15417,75,14,9,Franklin D. Roosevelt
15412,15417,74,15,9,Franklin D. Roosevelt
15395,15400,78,13,7,Franklin D. Roosevelt
15364,15364,83,10,5,Franklin D. Roosevelt
15236,15236,70,24,5,Franklin D. Roosevelt
15228,15228,70,23,6,Franklin D. Roosevelt
15214,15214,67,24,7,Franklin D. Roosevelt
15207,15207,65,26,7,Franklin D. Roosevelt
15193,15193,68,23,7,Franklin D. Roosevelt
15186,15186,65,25,8,Franklin D. Roosevelt
15179,15179,69,24,6,Franklin D. Roosevelt
19339,19344,32,56,12,Harry S. Truman
19332,19332,32,56,11,Harry S. Truman
19274,19274,32,55,11,Harry S. Truman
19270,19270,30,56,11,Harry S. Truman
19268,19268,32,54,11,Harry S. Truman
19186,19186,28,58,11,Harry S. Truman
19142,19142,30,59,6,Harry S. Truman
19123,19123,26,60,12,Harry S. Truman
19095,19095,28,60,11,Harry S. Truman
19033,19038,22,64,13,Harry S. Truman
18997,18997,23,66,9,Harry S. Truman
18943,18948,22,60,16,Harry S. Truman
18913,18913,27,58,12,Harry S. Truman
18841,18841,29,58,10,Harry S. Truman
18815,18815,28,56,14,Harry S. Truman
18793,18793,24,61,13,Harry S. Truman
18767,18772,23,63,12,Harry S. Truman
18732,18732,24,54,20,Harry S. Truman
18711,18711,26,60,12,Harry S. Truman
18689,18689,27,58,14,Harry S. Truman
18663,18668,25,58,15,Harry S. Truman
18598,18598,33,52,13,Harry S. Truman
18554,18554,40,45,13,Harry S. Truman
18547,18547,36,48,14,Harry S. Truman
18542,18542,42,36,21,Harry S. Truman
18535,18535,34,50,14,Harry S. Truman
18521,18521,34,47,17,Harry S. Truman
18493,18493,42,32,25,Harry S. Truman
18472,18472,39,44,16,Harry S. Truman
18451,18451,45,39,14,Harry S. Truman
18418,18423,36,46,17,Harry S. Truman
18385,18385,40,37,22,Harry S. Truman
18381,18381,39,47,13,Harry S. Truman
18318,18318,35,47,17,Harry S. Truman
18269,18269,44,41,13,Harry S. Truman
18169,18173,49,34,16,Harry S. Truman
18169,18173,47,34,18,Harry S. Truman
18058,18058,56,27,15,Harry S. Truman
18018,18018,50,31,18,Harry S. Truman
17961,17961,56,26,17,Harry S. Truman
17903,17903,67,18,14,Harry S. Truman
17700,17700,38,45,15,Harry S. Truman
17681,17686,38,45,16,Harry S. Truman
17630,17630,36,49,14,Harry S. Truman
17499,17504,53,32,14,Harry S. Truman
17420,17420,55,27,17,Harry S. Truman
17352,17357,59,26,13,Harry S. Truman
17336,17336,55,31,13,Harry S. Truman
17310,17315,64,23,12,Harry S. Truman
17280,17280,57,24,17,Harry S. Truman
17252,17252,63,21,15,Harry S. Truman
17240,17245,58,22,19,Harry S. Truman
17182,17182,49,37,13,Harry S. Truman
17119,17119,34,52,13,Harry S. Truman
17096,17096,27,56,16,Harry S. Truman
17056,17056,33,51,15,Harry S. Truman
16965,16965,45,42,12,Harry S. Truman
16951,16951,45,42,12,Harry S. Truman
16888,16888,50,33,16,Harry S. Truman
16860,16860,48,38,12,Harry S. Truman
16805,16805,63,22,14,Harry S. Truman
16741,16741,75,13,11,Harry S. Truman
16713,16713,80,8,10,Harry S. Truman
16671,16671,91,2,5,Harry S. Truman
16586,16586,86,2,10,Harry S. Truman
22258,22263,59,28,13,Dwight D. Eisenhower
22256,22256,68,31,0,Dwight D. Eisenhower
22235,22235,59,25,14,Dwight D. Eisenhower
22207,22212,57,31,10,Dwight D. Eisenhower
22185,22185,64,25,9,Dwight D. Eisenhower
22168,22173,58,28,13,Dwight D. Eisenhower
22153,22158,60,28,11,Dwight D. Eisenhower
22137,22137,63,24,12,Dwight D. Eisenhower
22125,22125,62,26,11,Dwight D. Eisenhower
22111,22111,49,33,17,Dwight D. Eisenhower
22095,22095,57,26,16,Dwight D. Eisenhower
22081,22081,60,23,15,Dwight D. Eisenhower
22060,22060,64,21,13,Dwight D. Eisenhower
22032,22032,61,21,16,Dwight D. Eisenhower
22003,22003,65,22,12,Dwight D. Eisenhower
21977,21982,63,22,14,Dwight D. Eisenhower
21950,21955,63,21,14,Dwight D. Eisenhower
21921,21926,66,17,15,Dwight D. Eisenhower
21894,21899,76,15,8,Dwight D. Eisenhower
21887,21892,66,18,15,Dwight D. Eisenhower
21864,21864,64,20,14,Dwight D. Eisenhower
21837,21837,66,19,14,Dwight D. Eisenhower
21809,21809,66,19,13,Dwight D. Eisenhower
21754,21759,60,26,13,Dwight D. Eisenhower
21726,21731,62,23,14,Dwight D. Eisenhower
21699,21704,63,20,15,Dwight D. Eisenhower
21667,21667,59,24,15,Dwight D. Eisenhower
21640,21640,62,22,15,Dwight D. Eisenhower
21613,21618,58,25,16,Dwight D. Eisenhower
21585,21590,58,25,15,Dwight D. Eisenhower
21557,21562,56,27,15,Dwight D. Eisenhower
21522,21527,56,32,11,Dwight D. Eisenhower
21496,21501,51,29,18,Dwight D. Eisenhower
21471,21471,56,26,16,Dwight D. Eisenhower
21452,21457,53,27,18,Dwight D. Eisenhower
21438,21443,56,29,14,Dwight D. Eisenhower
21417,21422,55,26,17,Dwight D. Eisenhower
21396,21401,57,26,15,Dwight D. Eisenhower
21374,21374,52,32,15,Dwight D. Eisenhower
21331,21331,53,31,15,Dwight D. Eisenhower
21312,21317,51,32,15,Dwight D. Eisenhower
21289,21289,54,30,15,Dwight D. Eisenhower
21269,21269,47,35,16,Dwight D. Eisenhower
21248,21248,50,32,15,Dwight D. Eisenhower
21230,21235,54,32,0,Dwight D. Eisenhower
21207,21207,57,27,14,Dwight D. Eisenhower
21185,21185,60,29,9,Dwight D. Eisenhower
21131,21136,57,27,14,Dwight D. Eisenhower
21103,21108,56,26,15,Dwight D. Eisenhower
21082,21087,57,27,14,Dwight D. Eisenhower
21038,21038,62,19,17,Dwight D. Eisenhower
21019,21024,64,22,13,Dwight D. Eisenhower
20996,20996,63,22,13,Dwight D. Eisenhower
20977,20982,63,22,14,Dwight D. Eisenhower
20955,20955,61,22,14,Dwight D. Eisenhower
20935,20940,62,22,14,Dwight D. Eisenhower
20916,20921,66,20,12,Dwight D. Eisenhower
20894,20899,65,19,14,Dwight D. Eisenhower
20879,20884,71,17,10,Dwight D. Eisenhower
20856,20863,72,15,11,Dwight D. Eisenhower
20837,20842,73,13,12,Dwight D. Eisenhower
20803,20808,77,11,10,Dwight D. Eisenhower
20779,20779,74,14,10,Dwight D. Eisenhower
20668,20668,67,19,13,Dwight D. Eisenhower
20646,20646,69,20,9,Dwight D. Eisenhower
20619,20619,72,18,8,Dwight D. Eisenhower
20604,20604,71,18,9,Dwight D. Eisenhower
20583,20583,69,16,13,Dwight D. Eisenhower
20543,20548,72,17,10,Dwight D. Eisenhower
20520,20520,72,17,10,Dwight D. Eisenhower
20499,20499,74,15,10,Dwight D. Eisenhower
20478,20478,76,13,8,Dwight D. Eisenhower
20458,20458,76,11,11,Dwight D. Eisenhower
20429,20429,74,12,11,Dwight D. Eisenhower
20410,20415,77,13,9,Dwight D. Eisenhower
20345,20345,70,16,12,Dwight D. Eisenhower
20324,20324,70,15,13,Dwight D. Eisenhower
