,created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count
0,Fri May 29 23:59:59 +0000 2020,"RT @TrumpWarRoom: Joe Biden falsely claims President Trump said ""they begin to loot, we shoot."" That's a lie!

Trump said ""when the looting…",1266519691209723909,774622774501449732,"Stamford, CT",1047,,,0,0
1,Fri May 29 23:59:59 +0000 2020,@mehdirhasan @thedailybeast Can we avoid Biden that is the question,1266519690882449409,4817941072,"Ile-de-France, France",1934,,,0,0
2,Fri May 29 23:59:59 +0000 2020,@RealMattCouch if they get Romney  and Biden to join they can have a circle jerk,1266519690173538304,4853925971,,5113,,,0,0
3,Fri May 29 23:59:59 +0000 2020,Biden is a phony corrupt politician and he will never be president. https://t.co/wbUdOMyGsw,1266519689074667522,1641065983,"Arizona, USA",176,,,0,0
4,Fri May 29 23:59:58 +0000 2020,RT @AprilDRyan: Taylor Swift is not backing down against @realDonaldTrump. The Grammy-winner superstar has vowed to galvanize her audience…,1266519687669694472,860290834318716928,,49,,,0,0
5,Fri May 29 23:59:58 +0000 2020,RT @GeorgePapa19: Biden center at UPenn has received $70 million from China the last two years,1266519687489347586,2341830598,,235,,,0,0
6,Fri May 29 23:59:58 +0000 2020,RT @AprilDRyan: Taylor Swift is not backing down against @realDonaldTrump. The Grammy-winner superstar has vowed to galvanize her audience…,1266519685308309504,1884366960,"Texas, USA",178,,,0,0
7,Fri May 29 23:59:58 +0000 2020,@RindtJulie @harpersfairy1 @conunlibro @SeitzTheron @CarlyCalifello @blueroadearth @brat2381 Biden and Trump don't… https://t.co/zJNIhjiFMz,1266519684767195136,1237041798880677888,Moscow,420,,,0,1
8,Fri May 29 23:59:58 +0000 2020,RT @KAGWAR2020: ...AMERICAN JUSTICE [**EXTENDED CUT**] - The citizens are coming! -- Barack Obama and Joe Biden looted the White House and…,1266519683542499333,125207549,Montréal,2070,,,0,0
9,Fri May 29 23:59:57 +0000 2020,Biden Coffin Dance Ad (Extended Version) | HD https://t.co/jz9Firv1EP via @YouTube,1266519682380636165,738439827847159808,Southern midwest,1828,,,0,0
10,Fri May 29 23:59:57 +0000 2020,"RT @TheyCallMeTomO1: JUST IN:

When asked about the riots, Joe Biden responds:

""Man, back of the barn and the mainstream music on the reco…",1266519681281724417,1047887732368785409,United States,16274,,,0,0
11,Fri May 29 23:59:57 +0000 2020,RT @true_pundit: Former Vice President Joe Biden established three charitable organizations; the Penn Biden Center for Diplomacy and Global…,1266519681168539655,2204160606,USA,42,,,0,0
12,Fri May 29 23:59:57 +0000 2020,"RT @whitley_jason: 🚨🇺🇸    TGIF Show with Q&amp;A.  🇺🇸🚨
Watch @DilleyShow's broadcast: ""Minnesota False Flag, President Trump VS Twitter Showdow…",1266519681105645569,250323991,,33,,,0,0
13,Fri May 29 23:59:57 +0000 2020,RT @JuneSummer1: Biden needs Kamala Harris as his VP.,1266519681101332480,444258959,,60,,,0,0
