,score,date
0,1,2020-05-28 23:59:53+00:00
1,1,2020-05-28 23:59:49+00:00
2,1,2020-05-28 23:59:45+00:00
3,1,2020-05-28 23:59:44+00:00
4,1,2020-05-28 23:59:40+00:00
5,1,2020-05-28 23:59:39+00:00
6,0,2020-05-28 23:59:38+00:00
7,0,2020-05-28 23:59:36+00:00
8,1,2020-05-28 23:59:29+00:00
9,1,2020-05-28 23:59:27+00:00
10,1,2020-05-28 23:59:26+00:00
11,0,2020-05-28 23:59:25+00:00
12,1,2020-05-28 23:59:18+00:00
13,1,2020-05-28 23:59:15+00:00
14,1,2020-05-28 23:59:01+00:00
15,1,2020-05-28 23:58:57+00:00
16,0,2020-05-28 23:58:50+00:00
17,1,2020-05-28 23:58:48+00:00
18,1,2020-05-28 23:58:33+00:00
19,1,2020-05-28 23:58:31+00:00
20,1,2020-05-28 23:58:28+00:00
21,0,2020-05-28 23:58:28+00:00
22,1,2020-05-28 23:58:28+00:00
23,0,2020-05-28 23:58:24+00:00
24,1,2020-05-28 23:58:18+00:00
25,1,2020-05-28 23:58:14+00:00
26,1,2020-05-28 23:58:07+00:00
27,1,2020-05-28 23:58:02+00:00
28,1,2020-05-28 23:58:00+00:00
29,0,2020-05-28 23:57:57+00:00
30,2,2020-05-28 23:57:56+00:00
31,1,2020-05-28 23:57:48+00:00
32,1,2020-05-28 23:57:48+00:00
33,1,2020-05-28 23:57:45+00:00
34,1,2020-05-28 23:57:39+00:00
35,1,2020-05-28 23:57:32+00:00
36,0,2020-05-28 23:57:31+00:00
37,0,2020-05-28 23:57:29+00:00
38,0,2020-05-28 23:57:28+00:00
39,1,2020-05-28 23:57:25+00:00
40,0,2020-05-28 23:57:16+00:00
41,2,2020-05-28 23:57:13+00:00
42,1,2020-05-28 23:57:00+00:00
43,1,2020-05-28 23:56:57+00:00
44,0,2020-05-28 23:56:45+00:00
45,0,2020-05-28 23:56:43+00:00
46,1,2020-05-28 23:56:36+00:00
47,1,2020-05-28 23:56:33+00:00
48,1,2020-05-28 23:56:32+00:00
49,0,2020-05-28 23:56:32+00:00
50,1,2020-05-28 23:56:32+00:00
51,1,2020-05-28 23:56:30+00:00
52,0,2020-05-28 23:56:12+00:00
53,1,2020-05-28 23:56:12+00:00
54,0,2020-05-28 23:55:59+00:00
55,0,2020-05-28 23:55:57+00:00
56,0,2020-05-28 23:55:54+00:00
57,1,2020-05-28 23:55:53+00:00
58,0,2020-05-28 23:55:49+00:00
59,1,2020-05-28 23:55:46+00:00
60,1,2020-05-28 23:55:42+00:00
61,1,2020-05-28 23:55:42+00:00
62,1,2020-05-28 23:55:35+00:00
63,2,2020-05-28 23:55:29+00:00
64,0,2020-05-28 23:55:26+00:00
65,0,2020-05-28 23:55:22+00:00
66,0,2020-05-28 23:55:13+00:00
67,1,2020-05-28 23:55:05+00:00
68,1,2020-05-28 23:54:57+00:00
69,0,2020-05-28 23:54:54+00:00
70,1,2020-05-28 23:54:51+00:00
71,0,2020-05-28 23:54:47+00:00
72,0,2020-05-28 23:54:44+00:00
73,0,2020-05-28 23:54:42+00:00
74,0,2020-05-28 23:54:39+00:00
75,1,2020-05-28 23:54:34+00:00
76,1,2020-05-28 23:54:33+00:00
77,2,2020-05-28 23:54:18+00:00
78,1,2020-05-28 23:54:18+00:00
79,1,2020-05-28 23:54:13+00:00
80,1,2020-05-28 23:54:11+00:00
81,0,2020-05-28 23:54:09+00:00
82,2,2020-05-28 23:54:08+00:00
83,0,2020-05-28 23:53:59+00:00
84,1,2020-05-28 23:53:54+00:00
85,0,2020-05-28 23:53:48+00:00
86,1,2020-05-28 23:53:47+00:00
87,0,2020-05-28 23:53:46+00:00
88,1,2020-05-28 23:53:45+00:00
89,0,2020-05-28 23:53:34+00:00
90,1,2020-05-28 23:53:32+00:00
91,1,2020-05-28 23:53:31+00:00
92,0,2020-05-28 23:53:29+00:00
93,1,2020-05-28 23:53:26+00:00
94,1,2020-05-28 23:53:26+00:00
95,0,2020-05-28 23:53:15+00:00
96,0,2020-05-28 23:53:01+00:00
97,1,2020-05-28 23:52:58+00:00
98,0,2020-05-28 23:52:57+00:00
99,1,2020-05-28 23:52:47+00:00
100,1,2020-05-28 23:52:47+00:00
101,1,2020-05-28 23:52:46+00:00
102,1,2020-05-28 23:52:44+00:00
103,1,2020-05-28 23:52:33+00:00
104,1,2020-05-28 23:52:30+00:00
105,2,2020-05-28 23:52:23+00:00
106,1,2020-05-28 23:52:19+00:00
107,1,2020-05-28 23:52:18+00:00
108,1,2020-05-28 23:52:12+00:00
109,1,2020-05-28 23:52:05+00:00
110,1,2020-05-28 23:52:01+00:00
111,1,2020-05-28 23:51:49+00:00
112,1,2020-05-28 23:51:47+00:00
113,1,2020-05-28 23:51:47+00:00
114,1,2020-05-28 23:51:32+00:00
115,1,2020-05-28 23:51:29+00:00
116,2,2020-05-28 23:51:17+00:00
117,1,2020-05-28 23:51:17+00:00
118,1,2020-05-28 23:51:14+00:00
119,1,2020-05-28 23:51:10+00:00
120,1,2020-05-28 23:50:57+00:00
121,1,2020-05-28 23:50:49+00:00
122,1,2020-05-28 23:50:41+00:00
123,1,2020-05-28 23:50:39+00:00
124,1,2020-05-28 23:50:38+00:00
125,1,2020-05-28 23:50:30+00:00
126,1,2020-05-28 23:50:21+00:00
127,1,2020-05-28 23:50:09+00:00
128,0,2020-05-28 23:50:06+00:00
129,0,2020-05-28 23:50:04+00:00
130,1,2020-05-28 23:49:44+00:00
131,1,2020-05-28 23:49:43+00:00
132,1,2020-05-28 23:49:41+00:00
133,0,2020-05-28 23:49:41+00:00
134,0,2020-05-28 23:49:36+00:00
135,1,2020-05-28 23:49:27+00:00
136,1,2020-05-28 23:49:25+00:00
137,1,2020-05-28 23:49:20+00:00
138,0,2020-05-28 23:49:16+00:00
139,1,2020-05-28 23:49:11+00:00
140,1,2020-05-28 23:49:04+00:00
141,1,2020-05-28 23:48:58+00:00
142,1,2020-05-28 23:48:54+00:00
143,1,2020-05-28 23:48:53+00:00
144,0,2020-05-28 23:48:51+00:00
145,1,2020-05-28 23:48:45+00:00
146,1,2020-05-28 23:48:42+00:00
147,1,2020-05-28 23:48:18+00:00
148,1,2020-05-28 23:48:13+00:00
149,1,2020-05-28 23:48:13+00:00
150,1,2020-05-28 23:48:12+00:00
151,0,2020-05-28 23:48:06+00:00
152,1,2020-05-28 23:47:58+00:00
153,1,2020-05-28 23:47:53+00:00
154,1,2020-05-28 23:47:37+00:00
155,1,2020-05-28 23:47:29+00:00
156,1,2020-05-28 23:47:26+00:00
157,1,2020-05-28 23:47:25+00:00
158,1,2020-05-28 23:47:24+00:00
159,1,2020-05-28 23:47:22+00:00
160,1,2020-05-28 23:47:21+00:00
161,1,2020-05-28 23:47:21+00:00
162,1,2020-05-28 23:47:20+00:00
163,0,2020-05-28 23:47:19+00:00
164,0,2020-05-28 23:47:15+00:00
165,2,2020-05-28 23:47:11+00:00
166,1,2020-05-28 23:47:11+00:00
167,1,2020-05-28 23:47:07+00:00
168,1,2020-05-28 23:47:03+00:00
169,1,2020-05-28 23:47:00+00:00
170,0,2020-05-28 23:46:50+00:00
171,1,2020-05-28 23:46:48+00:00
172,1,2020-05-28 23:46:44+00:00
173,1,2020-05-28 23:46:43+00:00
174,0,2020-05-28 23:46:19+00:00
175,1,2020-05-28 23:46:12+00:00
176,1,2020-05-28 23:46:08+00:00
177,1,2020-05-28 23:46:07+00:00
178,1,2020-05-28 23:46:06+00:00
179,1,2020-05-28 23:45:56+00:00
180,1,2020-05-28 23:45:46+00:00
181,2,2020-05-28 23:45:46+00:00
182,1,2020-05-28 23:45:44+00:00
183,1,2020-05-28 23:45:29+00:00
184,1,2020-05-28 23:45:23+00:00
185,1,2020-05-28 23:45:21+00:00
186,1,2020-05-28 23:45:14+00:00
187,1,2020-05-28 23:45:13+00:00
188,1,2020-05-28 23:45:00+00:00
189,2,2020-05-28 23:44:50+00:00
190,1,2020-05-28 23:44:48+00:00
191,1,2020-05-28 23:44:39+00:00
192,1,2020-05-28 23:44:38+00:00
193,1,2020-05-28 23:44:31+00:00
194,1,2020-05-28 23:44:27+00:00
195,1,2020-05-28 23:44:25+00:00
196,1,2020-05-28 23:44:17+00:00
197,1,2020-05-28 23:44:09+00:00
198,1,2020-05-28 23:44:09+00:00
199,1,2020-05-28 23:44:06+00:00
200,0,2020-05-28 23:44:02+00:00
201,0,2020-05-28 23:43:35+00:00
202,1,2020-05-28 23:43:21+00:00
203,1,2020-05-28 23:43:20+00:00
204,1,2020-05-28 23:43:05+00:00
205,1,2020-05-28 23:43:02+00:00
206,1,2020-05-28 23:42:48+00:00
207,1,2020-05-28 23:42:46+00:00
208,1,2020-05-28 23:42:43+00:00
209,1,2020-05-28 23:42:22+00:00
210,1,2020-05-28 23:42:02+00:00
211,1,2020-05-28 23:42:00+00:00
212,1,2020-05-28 23:42:00+00:00
213,1,2020-05-28 23:41:55+00:00
214,1,2020-05-28 23:41:54+00:00
215,1,2020-05-28 23:41:32+00:00
216,1,2020-05-28 23:41:25+00:00
217,1,2020-05-28 23:41:21+00:00
218,1,2020-05-28 23:41:19+00:00
219,1,2020-05-28 23:40:59+00:00
220,1,2020-05-28 23:40:28+00:00
221,1,2020-05-28 23:40:22+00:00
222,1,2020-05-28 23:40:21+00:00
223,1,2020-05-28 23:40:20+00:00
224,1,2020-05-28 23:40:16+00:00
225,1,2020-05-28 23:40:12+00:00
226,1,2020-05-28 23:40:09+00:00
227,1,2020-05-28 23:40:07+00:00
228,1,2020-05-28 23:40:06+00:00
229,1,2020-05-28 23:40:01+00:00
230,0,2020-05-28 23:39:53+00:00
231,1,2020-05-28 23:39:27+00:00
232,1,2020-05-28 23:39:18+00:00
233,1,2020-05-28 23:38:53+00:00
234,1,2020-05-28 23:38:49+00:00
235,1,2020-05-28 23:38:45+00:00
236,1,2020-05-28 23:38:36+00:00
237,0,2020-05-28 23:38:33+00:00
238,1,2020-05-28 23:38:32+00:00
239,1,2020-05-28 23:38:32+00:00
240,2,2020-05-28 23:38:25+00:00
241,1,2020-05-28 23:38:25+00:00
242,1,2020-05-28 23:38:20+00:00
243,1,2020-05-28 23:38:18+00:00
244,1,2020-05-28 23:38:06+00:00
245,0,2020-05-28 23:38:00+00:00
246,1,2020-05-28 23:37:55+00:00
247,1,2020-05-28 23:37:51+00:00
248,1,2020-05-28 23:37:49+00:00
249,1,2020-05-28 23:37:44+00:00
250,1,2020-05-28 23:37:34+00:00
251,1,2020-05-28 23:37:31+00:00
252,0,2020-05-28 23:37:24+00:00
253,0,2020-05-28 23:37:17+00:00
254,1,2020-05-28 23:37:14+00:00
255,0,2020-05-28 23:37:07+00:00
256,1,2020-05-28 23:37:04+00:00
257,0,2020-05-28 23:36:59+00:00
258,1,2020-05-28 23:36:57+00:00
259,1,2020-05-28 23:36:57+00:00
260,1,2020-05-28 23:36:50+00:00
261,1,2020-05-28 23:36:38+00:00
262,0,2020-05-28 23:36:29+00:00
263,1,2020-05-28 23:36:22+00:00
264,1,2020-05-28 23:36:18+00:00
265,1,2020-05-28 23:36:02+00:00
266,1,2020-05-28 23:35:55+00:00
267,1,2020-05-28 23:35:50+00:00
268,1,2020-05-28 23:35:41+00:00
269,1,2020-05-28 23:35:39+00:00
270,1,2020-05-28 23:35:38+00:00
271,1,2020-05-28 23:35:36+00:00
272,1,2020-05-28 23:35:34+00:00
273,1,2020-05-28 23:35:22+00:00
274,1,2020-05-28 23:35:21+00:00
275,1,2020-05-28 23:35:21+00:00
276,1,2020-05-28 23:35:21+00:00
277,1,2020-05-28 23:35:20+00:00
278,1,2020-05-28 23:35:15+00:00
279,1,2020-05-28 23:35:12+00:00
280,1,2020-05-28 23:35:05+00:00
281,1,2020-05-28 23:34:46+00:00
282,0,2020-05-28 23:34:45+00:00
283,1,2020-05-28 23:34:35+00:00
284,1,2020-05-28 23:34:33+00:00
285,1,2020-05-28 23:34:30+00:00
286,1,2020-05-28 23:34:25+00:00
287,1,2020-05-28 23:34:12+00:00
288,1,2020-05-28 23:33:48+00:00
289,1,2020-05-28 23:33:33+00:00
