,score,date
0,1,2020-05-28 23:59:28+00:00
1,1,2020-05-28 23:57:34+00:00
2,0,2020-05-28 23:57:33+00:00
3,1,2020-05-28 23:57:29+00:00
4,0,2020-05-28 23:56:52+00:00
5,1,2020-05-28 23:56:33+00:00
6,0,2020-05-28 23:56:22+00:00
7,1,2020-05-28 23:55:56+00:00
8,0,2020-05-28 23:55:34+00:00
9,1,2020-05-28 23:54:49+00:00
10,1,2020-05-28 23:54:47+00:00
11,0,2020-05-28 23:54:28+00:00
12,0,2020-05-28 23:53:22+00:00
13,0,2020-05-28 23:52:55+00:00
14,1,2020-05-28 23:52:18+00:00
15,0,2020-05-28 23:51:53+00:00
16,0,2020-05-28 23:51:48+00:00
17,0,2020-05-28 23:51:28+00:00
18,1,2020-05-28 23:51:18+00:00
19,0,2020-05-28 23:50:28+00:00
20,1,2020-05-28 23:50:27+00:00
21,0,2020-05-28 23:50:25+00:00
22,0,2020-05-28 23:50:14+00:00
23,1,2020-05-28 23:50:12+00:00
24,0,2020-05-28 23:49:41+00:00
25,1,2020-05-28 23:48:10+00:00
26,0,2020-05-28 23:47:20+00:00
27,0,2020-05-28 23:45:34+00:00
28,0,2020-05-28 23:44:56+00:00
29,0,2020-05-28 23:44:46+00:00
30,0,2020-05-28 23:44:23+00:00
31,0,2020-05-28 23:43:57+00:00
32,0,2020-05-28 23:43:53+00:00
33,1,2020-05-28 23:43:41+00:00
34,1,2020-05-28 23:43:00+00:00
35,0,2020-05-28 23:42:49+00:00
36,0,2020-05-28 23:42:29+00:00
37,0,2020-05-28 23:42:28+00:00
38,0,2020-05-28 23:41:37+00:00
39,0,2020-05-28 23:40:02+00:00
40,0,2020-05-28 23:39:10+00:00
41,0,2020-05-28 23:39:07+00:00
42,1,2020-05-28 23:38:31+00:00
43,1,2020-05-28 23:38:16+00:00
44,1,2020-05-28 23:37:39+00:00
45,1,2020-05-28 23:37:38+00:00
46,0,2020-05-28 23:37:35+00:00
47,0,2020-05-28 23:37:34+00:00
48,0,2020-05-28 23:37:18+00:00
49,1,2020-05-28 23:37:08+00:00
50,1,2020-05-28 23:37:03+00:00
51,1,2020-05-28 23:36:40+00:00
52,0,2020-05-28 23:36:10+00:00
53,0,2020-05-28 23:35:54+00:00
54,0,2020-05-28 23:35:12+00:00
55,0,2020-05-28 23:34:35+00:00
56,1,2020-05-28 23:34:31+00:00
57,0,2020-05-28 23:34:22+00:00
58,0,2020-05-28 23:33:38+00:00
59,0,2020-05-28 23:32:48+00:00
60,0,2020-05-28 23:30:45+00:00
61,0,2020-05-28 23:30:28+00:00
62,0,2020-05-28 23:30:19+00:00
63,0,2020-05-28 23:30:12+00:00
64,1,2020-05-28 23:28:30+00:00
65,0,2020-05-28 23:27:58+00:00
66,1,2020-05-28 23:27:12+00:00
67,1,2020-05-28 23:27:03+00:00
68,0,2020-05-28 23:27:03+00:00
69,0,2020-05-28 23:26:55+00:00
70,0,2020-05-28 23:26:51+00:00
71,1,2020-05-28 23:26:50+00:00
72,0,2020-05-28 23:26:37+00:00
73,1,2020-05-28 23:26:22+00:00
74,0,2020-05-28 23:26:11+00:00
75,0,2020-05-28 23:26:03+00:00
76,1,2020-05-28 23:25:54+00:00
77,0,2020-05-28 23:25:06+00:00
78,1,2020-05-28 23:25:03+00:00
79,0,2020-05-28 23:24:59+00:00
80,0,2020-05-28 23:24:55+00:00
81,0,2020-05-28 23:24:04+00:00
82,0,2020-05-28 23:23:37+00:00
83,0,2020-05-28 23:23:25+00:00
84,1,2020-05-28 23:23:16+00:00
85,0,2020-05-28 23:22:32+00:00
86,0,2020-05-28 23:22:03+00:00
87,0,2020-05-28 23:21:34+00:00
88,0,2020-05-28 23:21:16+00:00
89,0,2020-05-28 23:21:08+00:00
90,0,2020-05-28 23:21:07+00:00
91,0,2020-05-28 23:20:09+00:00
92,0,2020-05-28 23:20:06+00:00
93,0,2020-05-28 23:19:59+00:00
94,0,2020-05-28 23:19:46+00:00
95,1,2020-05-28 23:19:42+00:00
96,0,2020-05-28 23:19:35+00:00
97,0,2020-05-28 23:19:20+00:00
98,1,2020-05-28 23:19:17+00:00
99,1,2020-05-28 23:18:39+00:00
100,1,2020-05-28 23:18:36+00:00
101,0,2020-05-28 23:18:31+00:00
102,1,2020-05-28 23:18:29+00:00
103,0,2020-05-28 23:18:23+00:00
104,0,2020-05-28 23:18:21+00:00
105,1,2020-05-28 23:17:57+00:00
106,0,2020-05-28 23:17:44+00:00
107,1,2020-05-28 23:17:35+00:00
108,1,2020-05-28 23:17:34+00:00
109,0,2020-05-28 23:17:25+00:00
110,0,2020-05-28 23:16:58+00:00
111,0,2020-05-28 23:16:18+00:00
112,0,2020-05-28 23:16:01+00:00
113,1,2020-05-28 23:15:24+00:00
114,0,2020-05-28 23:15:12+00:00
115,0,2020-05-28 23:14:59+00:00
116,0,2020-05-28 23:14:39+00:00
117,1,2020-05-28 23:14:07+00:00
118,0,2020-05-28 23:14:04+00:00
119,0,2020-05-28 23:13:52+00:00
120,0,2020-05-28 23:12:26+00:00
121,0,2020-05-28 23:12:23+00:00
122,1,2020-05-28 23:12:22+00:00
123,1,2020-05-28 23:11:55+00:00
124,0,2020-05-28 23:10:36+00:00
125,0,2020-05-28 23:10:02+00:00
126,0,2020-05-28 23:09:57+00:00
127,0,2020-05-28 23:09:46+00:00
128,0,2020-05-28 23:09:19+00:00
129,0,2020-05-28 23:09:07+00:00
130,0,2020-05-28 23:09:04+00:00
131,1,2020-05-28 23:08:56+00:00
132,1,2020-05-28 23:08:15+00:00
133,2,2020-05-28 23:08:05+00:00
134,0,2020-05-28 23:07:13+00:00
135,0,2020-05-28 23:05:40+00:00
136,0,2020-05-28 23:05:25+00:00
137,0,2020-05-28 23:05:00+00:00
138,0,2020-05-28 23:04:37+00:00
139,0,2020-05-28 23:04:35+00:00
140,0,2020-05-28 23:04:34+00:00
141,1,2020-05-28 23:04:33+00:00
142,0,2020-05-28 23:04:29+00:00
143,1,2020-05-28 23:04:09+00:00
144,0,2020-05-28 23:03:56+00:00
145,0,2020-05-28 23:03:37+00:00
146,2,2020-05-28 23:03:22+00:00
147,0,2020-05-28 23:03:14+00:00
148,1,2020-05-28 23:02:49+00:00
149,1,2020-05-28 23:02:23+00:00
150,0,2020-05-28 23:02:11+00:00
151,0,2020-05-28 23:01:56+00:00
152,0,2020-05-28 23:01:55+00:00
153,0,2020-05-28 23:01:36+00:00
154,0,2020-05-28 23:01:24+00:00
155,0,2020-05-28 23:00:46+00:00
156,0,2020-05-28 23:00:42+00:00
157,0,2020-05-28 23:00:41+00:00
158,1,2020-05-28 23:00:27+00:00
159,0,2020-05-28 23:00:23+00:00
160,0,2020-05-28 23:00:22+00:00
161,0,2020-05-28 22:59:42+00:00
162,0,2020-05-28 22:59:38+00:00
163,1,2020-05-28 22:59:33+00:00
164,1,2020-05-28 22:59:30+00:00
165,0,2020-05-28 22:59:23+00:00
166,2,2020-05-28 22:59:11+00:00
167,0,2020-05-28 22:59:10+00:00
168,1,2020-05-28 22:59:06+00:00
169,0,2020-05-28 22:59:00+00:00
170,0,2020-05-28 22:58:55+00:00
171,2,2020-05-28 22:58:55+00:00
172,0,2020-05-28 22:58:52+00:00
173,0,2020-05-28 22:58:52+00:00
174,0,2020-05-28 22:58:41+00:00
175,1,2020-05-28 22:58:38+00:00
176,0,2020-05-28 22:58:31+00:00
177,0,2020-05-28 22:58:29+00:00
178,0,2020-05-28 22:58:29+00:00
179,1,2020-05-28 22:58:20+00:00
180,1,2020-05-28 22:58:14+00:00
181,0,2020-05-28 22:58:04+00:00
182,0,2020-05-28 22:57:46+00:00
183,1,2020-05-28 22:57:41+00:00
184,0,2020-05-28 22:57:26+00:00
185,0,2020-05-28 22:57:18+00:00
186,1,2020-05-28 22:57:01+00:00
187,0,2020-05-28 22:56:58+00:00
188,0,2020-05-28 22:56:54+00:00
189,0,2020-05-28 22:56:44+00:00
190,2,2020-05-28 22:56:40+00:00
191,0,2020-05-28 22:56:39+00:00
192,0,2020-05-28 22:56:38+00:00
193,1,2020-05-28 22:56:30+00:00
194,2,2020-05-28 22:56:24+00:00
195,0,2020-05-28 22:56:14+00:00
196,0,2020-05-28 22:56:11+00:00
197,1,2020-05-28 22:55:36+00:00
198,0,2020-05-28 22:55:35+00:00
199,0,2020-05-28 22:55:24+00:00
200,0,2020-05-28 22:55:12+00:00
201,0,2020-05-28 22:54:51+00:00
202,0,2020-05-28 22:54:51+00:00
203,0,2020-05-28 22:54:45+00:00
204,0,2020-05-28 22:54:43+00:00
205,0,2020-05-28 22:54:41+00:00
206,0,2020-05-28 22:54:39+00:00
207,2,2020-05-28 22:54:28+00:00
208,1,2020-05-28 22:54:28+00:00
209,0,2020-05-28 22:54:22+00:00
210,0,2020-05-28 22:54:18+00:00
211,0,2020-05-28 22:54:18+00:00
212,0,2020-05-28 22:54:09+00:00
213,0,2020-05-28 22:54:09+00:00
214,0,2020-05-28 22:54:06+00:00
215,0,2020-05-28 22:54:05+00:00
216,0,2020-05-28 22:53:58+00:00
217,0,2020-05-28 22:53:52+00:00
218,0,2020-05-28 22:53:44+00:00
219,0,2020-05-28 22:53:37+00:00
220,1,2020-05-28 22:53:32+00:00
221,0,2020-05-28 22:53:31+00:00
222,0,2020-05-28 22:53:30+00:00
223,1,2020-05-28 22:53:12+00:00
224,0,2020-05-28 22:53:06+00:00
225,0,2020-05-28 22:52:48+00:00
226,0,2020-05-28 22:52:48+00:00
227,0,2020-05-28 22:52:47+00:00
228,1,2020-05-28 22:52:38+00:00
229,0,2020-05-28 22:52:33+00:00
230,0,2020-05-28 22:52:33+00:00
231,0,2020-05-28 22:52:30+00:00
232,0,2020-05-28 22:52:16+00:00
233,0,2020-05-28 22:52:14+00:00
234,1,2020-05-28 22:52:11+00:00
235,1,2020-05-28 22:52:11+00:00
236,0,2020-05-28 22:52:10+00:00
237,0,2020-05-28 22:52:07+00:00
238,0,2020-05-28 22:52:00+00:00
239,0,2020-05-28 22:51:46+00:00
240,0,2020-05-28 22:51:43+00:00
241,0,2020-05-28 22:51:38+00:00
242,0,2020-05-28 22:51:21+00:00
243,0,2020-05-28 22:51:06+00:00
244,0,2020-05-28 22:50:56+00:00
245,0,2020-05-28 22:50:55+00:00
246,0,2020-05-28 22:50:25+00:00
247,0,2020-05-28 22:50:22+00:00
248,0,2020-05-28 22:50:14+00:00
249,0,2020-05-28 22:50:07+00:00
250,1,2020-05-28 22:50:01+00:00
251,1,2020-05-28 22:49:59+00:00
252,0,2020-05-28 22:49:57+00:00
253,0,2020-05-28 22:49:32+00:00
254,0,2020-05-28 22:49:26+00:00
255,1,2020-05-28 22:49:19+00:00
256,0,2020-05-28 22:49:17+00:00
257,0,2020-05-28 22:49:09+00:00
258,0,2020-05-28 22:49:04+00:00
259,1,2020-05-28 22:49:03+00:00
260,1,2020-05-28 22:48:50+00:00
261,0,2020-05-28 22:48:50+00:00
262,0,2020-05-28 22:48:41+00:00
263,0,2020-05-28 22:48:41+00:00
