,score,date
0,2,2016-10-08 23:59:16+00:00
1,1,2016-10-08 23:58:43+00:00
2,1,2016-10-08 23:58:37+00:00
3,1,2016-10-08 23:54:19+00:00
4,1,2016-10-08 23:54:16+00:00
5,1,2016-10-08 23:54:05+00:00
6,2,2016-10-08 23:53:40+00:00
7,1,2016-10-08 23:53:32+00:00
8,2,2016-10-08 23:52:46+00:00
9,2,2016-10-08 23:51:48+00:00
10,1,2016-10-08 23:51:39+00:00
11,1,2016-10-08 23:51:32+00:00
12,1,2016-10-08 23:50:25+00:00
13,1,2016-10-08 23:49:29+00:00
14,1,2016-10-08 23:48:51+00:00
15,1,2016-10-08 23:48:48+00:00
16,2,2016-10-08 23:46:09+00:00
17,2,2016-10-08 23:45:45+00:00
18,2,2016-10-08 23:45:19+00:00
19,1,2016-10-08 23:44:44+00:00
20,1,2016-10-08 23:44:14+00:00
21,1,2016-10-08 23:44:04+00:00
22,1,2016-10-08 23:43:48+00:00
23,1,2016-10-08 23:42:56+00:00
24,0,2016-10-08 23:41:22+00:00
25,1,2016-10-08 23:41:09+00:00
26,1,2016-10-08 23:40:48+00:00
27,1,2016-10-08 23:40:11+00:00
28,1,2016-10-08 23:39:22+00:00
29,1,2016-10-08 23:39:00+00:00
30,1,2016-10-08 23:38:41+00:00
31,1,2016-10-08 23:38:20+00:00
32,1,2016-10-08 23:38:13+00:00
33,1,2016-10-08 23:38:10+00:00
34,1,2016-10-08 23:37:42+00:00
35,1,2016-10-08 23:37:21+00:00
36,2,2016-10-08 23:36:13+00:00
37,1,2016-10-08 23:35:36+00:00
38,2,2016-10-08 23:34:46+00:00
39,1,2016-10-08 23:34:45+00:00
40,1,2016-10-08 23:34:31+00:00
41,2,2016-10-08 23:33:51+00:00
42,2,2016-10-08 23:33:35+00:00
43,1,2016-10-08 23:31:59+00:00
44,1,2016-10-08 23:30:07+00:00
45,1,2016-10-08 23:30:06+00:00
46,1,2016-10-08 23:29:55+00:00
47,1,2016-10-08 23:28:41+00:00
48,2,2016-10-08 23:26:56+00:00
49,2,2016-10-08 23:26:39+00:00
50,2,2016-10-08 23:26:22+00:00
51,2,2016-10-08 23:25:41+00:00
52,2,2016-10-08 23:24:33+00:00
53,1,2016-10-08 23:24:10+00:00
54,1,2016-10-08 23:22:53+00:00
55,1,2016-10-08 23:22:28+00:00
56,2,2016-10-08 23:22:26+00:00
57,2,2016-10-08 23:22:13+00:00
58,1,2016-10-08 23:21:29+00:00
59,2,2016-10-08 23:20:49+00:00
60,2,2016-10-08 23:20:38+00:00
61,1,2016-10-08 23:20:03+00:00
62,1,2016-10-08 23:18:57+00:00
63,2,2016-10-08 23:16:32+00:00
64,1,2016-10-08 23:15:59+00:00
65,1,2016-10-08 23:15:04+00:00
66,2,2016-10-08 23:14:59+00:00
67,2,2016-10-08 23:14:28+00:00
68,1,2016-10-08 23:14:02+00:00
69,2,2016-10-08 23:14:00+00:00
70,1,2016-10-08 23:11:52+00:00
