,score,date
0,1,2020-05-28 23:58:37+00:00
1,2,2020-05-28 23:58:04+00:00
2,2,2020-05-28 23:57:57+00:00
3,1,2020-05-28 23:57:00+00:00
4,2,2020-05-28 23:56:59+00:00
5,2,2020-05-28 23:56:33+00:00
6,1,2020-05-28 23:56:25+00:00
7,2,2020-05-28 23:55:14+00:00
8,2,2020-05-28 23:55:02+00:00
9,1,2020-05-28 23:55:00+00:00
10,2,2020-05-28 23:54:07+00:00
11,2,2020-05-28 23:52:59+00:00
12,1,2020-05-28 23:52:43+00:00
13,2,2020-05-28 23:51:59+00:00
14,2,2020-05-28 23:51:17+00:00
15,1,2020-05-28 23:51:12+00:00
16,1,2020-05-28 23:50:49+00:00
17,1,2020-05-28 23:50:35+00:00
18,2,2020-05-28 23:50:19+00:00
19,2,2020-05-28 23:49:50+00:00
20,1,2020-05-28 23:49:14+00:00
21,2,2020-05-28 23:48:51+00:00
22,1,2020-05-28 23:48:42+00:00
23,2,2020-05-28 23:46:08+00:00
24,2,2020-05-28 23:45:59+00:00
25,2,2020-05-28 23:45:54+00:00
26,2,2020-05-28 23:45:04+00:00
27,2,2020-05-28 23:44:22+00:00
28,1,2020-05-28 23:44:08+00:00
29,1,2020-05-28 23:43:08+00:00
30,2,2020-05-28 23:42:07+00:00
31,1,2020-05-28 23:42:01+00:00
32,1,2020-05-28 23:41:27+00:00
33,2,2020-05-28 23:41:27+00:00
34,2,2020-05-28 23:41:10+00:00
35,2,2020-05-28 23:41:07+00:00
36,2,2020-05-28 23:39:38+00:00
37,2,2020-05-28 23:38:27+00:00
38,2,2020-05-28 23:37:33+00:00
39,1,2020-05-28 23:37:10+00:00
40,1,2020-05-28 23:36:48+00:00
41,2,2020-05-28 23:36:45+00:00
42,1,2020-05-28 23:36:35+00:00
43,2,2020-05-28 23:34:38+00:00
44,2,2020-05-28 23:34:28+00:00
45,1,2020-05-28 23:34:04+00:00
46,2,2020-05-28 23:33:53+00:00
47,1,2020-05-28 23:33:40+00:00
48,2,2020-05-28 23:33:04+00:00
49,1,2020-05-28 23:32:01+00:00
50,2,2020-05-28 23:31:40+00:00
51,1,2020-05-28 23:31:18+00:00
52,2,2020-05-28 23:30:53+00:00
53,1,2020-05-28 23:30:52+00:00
54,2,2020-05-28 23:30:28+00:00
55,2,2020-05-28 23:30:20+00:00
56,2,2020-05-28 23:30:12+00:00
57,1,2020-05-28 23:29:47+00:00
58,2,2020-05-28 23:29:35+00:00
