,score,date
0,1,2016-10-08 23:59:26+00:00
1,1,2016-10-08 23:59:21+00:00
2,1,2016-10-08 23:59:16+00:00
3,1,2016-10-08 23:58:50+00:00
4,0,2016-10-08 23:58:25+00:00
5,1,2016-10-08 23:58:19+00:00
6,2,2016-10-08 23:57:43+00:00
7,1,2016-10-08 23:57:41+00:00
8,0,2016-10-08 23:57:38+00:00
9,0,2016-10-08 23:56:40+00:00
10,1,2016-10-08 23:56:05+00:00
11,1,2016-10-08 23:55:40+00:00
12,1,2016-10-08 23:55:15+00:00
13,1,2016-10-08 23:54:25+00:00
14,1,2016-10-08 23:54:00+00:00
15,1,2016-10-08 23:53:20+00:00
16,1,2016-10-08 23:53:11+00:00
17,1,2016-10-08 23:52:55+00:00
18,1,2016-10-08 23:52:51+00:00
19,1,2016-10-08 23:52:44+00:00
20,1,2016-10-08 23:52:08+00:00
21,1,2016-10-08 23:52:05+00:00
22,1,2016-10-08 23:50:53+00:00
23,1,2016-10-08 23:50:04+00:00
24,1,2016-10-08 23:49:07+00:00
25,1,2016-10-08 23:48:22+00:00
26,1,2016-10-08 23:48:15+00:00
27,1,2016-10-08 23:47:06+00:00
28,1,2016-10-08 23:46:53+00:00
29,1,2016-10-08 23:45:10+00:00
30,1,2016-10-08 23:45:10+00:00
31,1,2016-10-08 23:44:45+00:00
32,1,2016-10-08 23:44:26+00:00
33,1,2016-10-08 23:43:16+00:00
34,1,2016-10-08 23:43:12+00:00
35,1,2016-10-08 23:43:09+00:00
36,1,2016-10-08 23:42:56+00:00
37,1,2016-10-08 23:42:16+00:00
38,1,2016-10-08 23:42:11+00:00
39,1,2016-10-08 23:41:22+00:00
40,1,2016-10-08 23:41:13+00:00
41,1,2016-10-08 23:39:54+00:00
42,0,2016-10-08 23:38:25+00:00
43,1,2016-10-08 23:38:24+00:00
44,1,2016-10-08 23:38:12+00:00
45,1,2016-10-08 23:37:54+00:00
46,1,2016-10-08 23:37:29+00:00
47,1,2016-10-08 23:37:12+00:00
48,1,2016-10-08 23:37:10+00:00
49,1,2016-10-08 23:37:06+00:00
50,0,2016-10-08 23:36:28+00:00
51,1,2016-10-08 23:35:59+00:00
52,0,2016-10-08 23:35:17+00:00
53,1,2016-10-08 23:35:13+00:00
54,1,2016-10-08 23:34:52+00:00
55,1,2016-10-08 23:34:12+00:00
