,score,date
0,1,2020-05-28 23:21:46+00:00
1,1,2020-05-28 23:18:46+00:00
2,1,2020-05-28 23:15:37+00:00
3,1,2020-05-28 23:01:43+00:00
4,1,2020-05-28 22:54:32+00:00
5,0,2020-05-28 22:41:38+00:00
6,1,2020-05-28 22:14:30+00:00
7,1,2020-05-28 22:05:09+00:00
8,0,2020-05-28 21:58:05+00:00
9,0,2020-05-28 21:54:23+00:00
10,1,2020-05-28 21:41:56+00:00
11,1,2020-05-28 21:35:15+00:00
12,1,2020-05-28 21:34:21+00:00
13,1,2020-05-28 21:31:55+00:00
14,1,2020-05-28 21:29:22+00:00
15,1,2020-05-28 21:04:46+00:00
16,1,2020-05-28 21:01:20+00:00
17,1,2020-05-28 21:01:00+00:00
18,1,2020-05-28 20:29:33+00:00
19,1,2020-05-28 19:37:29+00:00
20,1,2020-05-28 19:31:29+00:00
21,1,2020-05-28 19:07:59+00:00
22,1,2020-05-28 18:13:50+00:00
23,1,2020-05-28 18:13:32+00:00
24,1,2020-05-28 18:11:33+00:00
25,1,2020-05-28 17:39:54+00:00
26,1,2020-05-28 17:06:29+00:00
27,1,2020-05-28 17:05:50+00:00
28,1,2020-05-28 16:45:28+00:00
29,1,2020-05-28 16:44:24+00:00
30,1,2020-05-28 16:40:21+00:00
31,1,2020-05-28 16:29:39+00:00
32,0,2020-05-28 16:15:45+00:00
33,2,2020-05-28 16:10:46+00:00
34,0,2020-05-28 15:52:28+00:00
35,1,2020-05-28 15:39:52+00:00
36,1,2020-05-28 15:39:04+00:00
37,1,2020-05-28 15:29:28+00:00
38,1,2020-05-28 15:00:45+00:00
39,0,2020-05-28 14:59:35+00:00
40,1,2020-05-28 14:47:55+00:00
41,0,2020-05-28 14:44:50+00:00
42,1,2020-05-28 14:04:59+00:00
43,0,2020-05-28 12:48:31+00:00
44,0,2020-05-28 12:25:01+00:00
45,1,2020-05-28 12:08:03+00:00
46,1,2020-05-28 11:54:08+00:00
47,1,2020-05-28 11:47:19+00:00
48,1,2020-05-28 11:38:55+00:00
49,1,2020-05-28 11:24:03+00:00
50,1,2020-05-28 11:01:27+00:00
51,1,2020-05-28 10:09:50+00:00
52,1,2020-05-28 08:16:28+00:00
53,1,2020-05-28 07:38:35+00:00
54,0,2020-05-28 07:31:46+00:00
55,0,2020-05-28 07:26:29+00:00
56,0,2020-05-28 07:11:29+00:00
57,0,2020-05-28 06:37:15+00:00
58,0,2020-05-28 06:31:01+00:00
59,0,2020-05-28 06:28:45+00:00
60,0,2020-05-28 06:18:38+00:00
61,1,2020-05-28 06:15:31+00:00
62,0,2020-05-28 06:13:59+00:00
63,1,2020-05-28 06:10:29+00:00
64,1,2020-05-28 05:36:02+00:00
65,1,2020-05-28 05:06:10+00:00
66,1,2020-05-28 05:04:02+00:00
67,1,2020-05-28 04:59:07+00:00
68,1,2020-05-28 04:42:30+00:00
69,1,2020-05-28 04:27:14+00:00
70,1,2020-05-28 04:26:07+00:00
71,1,2020-05-28 04:24:14+00:00
72,1,2020-05-28 04:23:58+00:00
73,1,2020-05-28 04:16:36+00:00
74,1,2020-05-28 04:08:39+00:00
75,1,2020-05-28 04:03:19+00:00
76,1,2020-05-28 03:58:27+00:00
77,1,2020-05-28 03:35:07+00:00
78,1,2020-05-28 03:23:45+00:00
79,1,2020-05-28 03:22:30+00:00
80,1,2020-05-28 03:22:29+00:00
81,1,2020-05-28 03:21:25+00:00
82,1,2020-05-28 03:21:00+00:00
83,1,2020-05-28 03:14:59+00:00
84,1,2020-05-28 03:13:07+00:00
85,2,2020-05-28 02:52:38+00:00
86,1,2020-05-28 02:02:25+00:00
87,2,2020-05-28 01:29:26+00:00
