,text,scores,user_flowers,fav_count,aspects
0,@idiottwatorcunt Pretty sure he has insurance on his retail business,3,27,0,"healthcare,insurance,prescription"
1,Need help with your #Assignment or #Assignments that are are #Urgent or #Due ??! Worry no more. GrammarWriters is a… https://t.co/guDqmcKB6J,2,69,0,"affordable,healthcare,medicare,preexisting"
2,@TheresaBroad72 @Jamiecrowell @BrandonStraka Currently my health insurance through works covers it but I agree it should be elective.,2,46,2,"healthcare,insurance,prescription,preexisting,medicare,medicaid"
3,@Eliza__Mae @rhysblakely Millions of Americans have lost their health insurance. So while it’s great that this indi… https://t.co/Z1DIEKJXvI,2,337,4,"healthcare,insurance"
4,@alwaysSemper13 @Joe40112137 @brianneDMR @DMRegister Excessive taxation is theft. It is coming out of my pocket for… https://t.co/hvBSg5JNC1,2,24,0,"preexisting,pocket"
5,"Look upon Hope of the Good things to come; End of the Fed, Financial Reset, IRS gone, Obamacare gone, New insurance… https://t.co/jz4hPvmcEf",3,1467,6,"aca,insurance"
6,@RJCity1 Does he not know that anyone unfortunate enough to see you naked pays. That is even before you factor in the cost of therapy.,1,1506,3,"healthcare,preexisting,insurance,cost"
7,@TheDemocrats We are the healthcare professionals know the truth! Why are you lying to the American people?? https://t.co/vwD4L85rCq,2,158,0,"healthcare,medicare"
8,"@ericmorrel3 @drbill_68 @kwilbe45 @BryanDawsonUSA @afortini So to spite everyone, you won't vote for preexisting co… https://t.co/SZPyIXxJ55",1,54,1,"affordable,preexisting"
9,"@thecjpearson The part of my family that didn't want to be on a reservation and was ""allowed"" to remain many years… https://t.co/8J7Dy1dOIM",1,958,0,"prescription,healthcare,insurance,coverage,medicare,aca,affordable,medicaid"
10,@blondenfun1 @USlawreview You do know these measly checks are a joke right? The cost of living is insane. Every tim… https://t.co/IWu3djcOJF,2,1452,1,"healthcare,medicare,insurance,coverage,aca,affordable,medicaid,cost,preexisting"
11,"slept almost the whole morning and just got up now so that means I’m ready to watch izone’s comeback tonight 🤩

it… https://t.co/XT4r0YagaY",3,5355,20,"cost,healthcare"
12,@moorehn Black people and white college kids seeming to be rampaging makes news. masses of people gathering to prot… https://t.co/SfaLSBNUiw,2,44,0,cost
13,What did it cost you,2,172,0,cost
14,"I have $160 in my pocket to get back to Phx &amp; last the rest of the month. idk how to explain it, but I know I’ll be… https://t.co/4JarDvfZN2",2,69,2,"insurance,prescription,preexisting,medicare,medicaid,pocket"
15,I've seen protest coverage all afternoon. https://t.co/16gf3faW9Y,2,67,1,coverage
16,"@SamsungMobile @jeonkoocies @BTS_twt @bts_bighit Prepare your pocket, prepare your walllet",3,566,0,pocket
17,@_tender_vittles remember that one time during game night where someone went way out of pocket talking about Dabi e… https://t.co/37PDY9ER0e,2,792,3,pocket
18,@jourdayen they’re perfectly fine and hold up really well but I find their fits to run narrow so not my favorite. t… https://t.co/hdAYZQtqdN,3,386,2,"insurance,prescription,preexisting,medicare,medicaid"
19,hakyeon returning but at what cost https://t.co/mEdWT2aYHm,2,117,0,cost
20,"Enjoy our affordable deals and save a dollar today! HMU for:
#Summer classes 
#assignment
#homework 
#discussion… https://t.co/WWBIOHozkD",3,309,0,"affordable,healthcare,insurance,coverage,medicare,aca,medicaid"
21,@ABC Don’t buy it people.  The media is reviving the panic porn because the riot coverage is starting to subside so… https://t.co/UlnEMwR4ju,3,49,4,"preexisting,coverage"
