,text,scores,user_flowers,fav_count,aspects
0,"@morningmika @Morning_Joe Do it Mika...

6:00 - 6:30: Replay the footage of Trump wobbling down the ramp
6:30 - 6:3… https://t.co/iWkqQjWsiH",1,11,9,trump
1,"@RealCandaceO 

Remember this? HRC in 1996 on ""Super Predators"" 

Isn't this called #DogWhistlePolitics?

My friend… https://t.co/UfLdJULO36",2,9,0,biden
2,@realDonaldTrump Happy birthday President Donald Trump,2,3,0,trump
3,"@NBCNews He won't care, unless his gut tells him it is dangerous? So who decided they should get everyone to sign w… https://t.co/dQzYm36O1q",1,25,0,biden
4,"@SketchesbyBoze Not that I’m defending older Trump voters, I mean these Millennial/Gen Z squabbles. There are divis… https://t.co/xr7hcnauW4",1,23,0,"trump,biden"
5,"@JoeBiden He’s Joe Biden, and he approves this message, written for him by one of his lackeys who has a much better… https://t.co/S6sZxB3NtN",2,3082,1,biden
6,"@TrulyBlessedFG @JasonMages77 @PHARAOH_ATEN_ I truly think that nearly all of the gun violence and ""bad"" police wor… https://t.co/QOU2wYlffq",1,54,5,biden
7,"juneteenth.
[first trump rally since coronavirus was something the administration started to take seriously. ]

now… https://t.co/WEnfnxONGs",2,675,5,trump
8,@JLCauvin Nailed it! I swear you gotta be Trump's brother from another mother.  Maybe the one they gave away becaus… https://t.co/sC8kpgZk6Q,2,10,4,"biden,trump"
9,Kamala Harris is on strong footing in Joe Biden’s search for a running mate as he faces intensifying pressure to ch… https://t.co/E7SXj0P4WP,3,5066,0,biden
10,"@afortini You're basically a Trump supporter (we all know how are system works by now) so very much the polar opposite of a ""resister"".",1,181,0,trump
11,@JoeBiden Trump is playing a game with the KKK. He's hoping one of there radicals go in and kills 100's of black pr… https://t.co/cln8ABbGLK,2,298,0,"biden,trump"
12,@realDonaldTrump Thank you God for our President Trump!!,2,10,0,trump
13,@realDonaldTrump They are all about making the economy look bad for our President Trump.,1,5,0,trump
14,Trump gotta spend half his time for pos sen repoobs as self campgn OR GOIN 2 JAIL W PENCE 2021!!!😃😂😁😀😅😄😃😁Coz Dems takn Senate!JUSTICE COMIN!,2,3,0,trump
15,Officials familiar with Lafayette Square confrontation challenge Trump administration claim of what drove aggressiv… https://t.co/uSAHjJXLil,2,44,0,trump
16,"@PostOpinions @gtconway3d George, great piece. We do not know what the impact would have been had Bolton testified,… https://t.co/rc28KyR9vT",3,8,10,biden
17,@realDonaldTrump Trump sucks,1,3,0,trump
18,"@AndyBossardet Yes and it sounds pretty dang stupid to me. 

It’s simple. One is bad because it’s Trump. If you don… https://t.co/LwfBmLBJua",1,16269,0,trump
19,"@bricksofcoxaine @RamonaMassachi @Jacey10x @SAVoltolin @AnitaNotherBook @realDavidOnline But maybe, voting for Bide… https://t.co/08aM8h8Mu8",2,0,4,biden
20,@effingrandy1 That dude is the picture of what hypocrisy would look like if hypocrisy was a person. What's so funny… https://t.co/QXAxC4ChX8,2,54,0,biden
21,@bigshoecanoe @scotty_kiker I bet that’s not from Trump!!!!!,2,69,16,"biden,trump"
22,So what you’re telling me is that a 13 year old that stated that Donald J Trump sexually assaulted and raped her is… https://t.co/YRmo3uDMit,2,108,8,trump
23,@RyanAFournier @realDonaldTrump In Russia the silent majority is growing for Trump.  That's probably too complicated for you to understand.,3,4,0,trump
24,@Fransclef Twitter is hard. I tried it once before and left because I couldn’t get many followers. DGAF this time.… https://t.co/mPsRuNBs22,1,26,1,biden
25,Trump Assassination Attempt Thwarted https://t.co/NsPqmspt2b via @YouTube,2,61,0,trump
26,They smashed on wendy's because they support PRESIDENT TRUMP that's why! https://t.co/Cg5TSPq8H8,2,508,0,trump
