headlines,terms,dates
dr. kiron skinner: trump needs to become 'the race president',trump,2020-06-02
political fallout from president trump's response to civil unrest,trump,2020-06-02
"trump hammered for church photo op, biden urges racial healing",trump,2020-06-02
"trump signs executive order on religious freedom, as dc archbishop slams trump visit to catholic shrine",trump,2020-06-02
trump focused on means rather than ends,trump,2020-06-02
congress measures trump’s response to the george floyd protests,trump,2020-06-02
"trump rips ‘cuomo brothers,’ says new york ‘was lost to the looters’",trump,2020-06-02
debra messing faces backlash over photoshopped image linking trump to hitler,trump,2020-06-02
"conservative columnist george will wins over liberals with scathing takedown of trump, congressional 'enablers'",trump,2020-06-02
rubio defends trump after criticism over st. john’s ‘photo op’,trump,2020-06-02
"barr ordered officials to clear area around lafayette square before trump’s protest remarks, officials say",trump,2020-06-02
warriors' steve kerr mocks trump's church photo,trump,2020-06-02
gop senator calls out trump for treating 'word of god as a political prop',trump,2020-06-02
dems trash ny times over front-page headline deemed too favorable to trump,trump,2020-06-02
backlash grows over use of tear gas against protesters prior to trump's walk to dc church,trump,2020-06-02
facebook employees to stage virtual walkout over handling of trump posts,trump,2020-06-02
president trump on the brian kilmeade show,trump,2020-06-03
"andrew cuomo knocks trump's church visit: 'here in new york, we actually read the bible'",trump,2020-06-03
"trump rips media, mobs amid rising criticism of deploying military",trump,2020-06-03
"hannity: if liberal mayors and governors refuse to restore law and order, president trump will",trump,2020-06-03
joe biden leads president trump in three battleground states,trump,2020-06-03
trump administration banning chinese airlines from operating incoming flights as of june 16,trump,2020-06-03
"trump threatens rioters with military, biden urges racial healing",trump,2020-06-03
"zuckerberg defiant in tense session with employees over trump posts, report says",trump,2020-06-03
biden has edge over trump on handling race relations: poll,trump,2020-06-03
trump says police departments 'have to do better': this has been a 'long-term' problem,trump,2020-06-03
"fox news poll: biden-trump tossup in ohio, 82 percent approve of dewine",trump,2020-06-03
biden and trump all tied up in texas: poll,trump,2020-06-03
fox news poll: biden leads trump in wisconsin,trump,2020-06-03
nirvana's krist novoselic praises trump's 'strong and direct' speech against george floyd riots,trump,2020-06-03
"rosenstein denies he suggested wearing wire, invoking 25th amendment against trump",trump,2020-06-03
a closer look president trump's relationship with former defense secretary james mattis,trump,2020-06-04
"tensions flare between trump, military figures over handling of george floyd unrest",trump,2020-06-04
"mattis says trump dividing county, potus hits ‘overrated general’",trump,2020-06-04
"sen. ted cruz says the russia investigation was a politicized, partisan targeting of president trump",trump,2020-06-04
joe biden tops trump in polls amid criticism over record,trump,2020-06-04
pelosi demands answers from trump on troops patrolling protesters in dc,trump,2020-06-04
"trump expected to sign executive order to waive environmental reviews, expedite permitting for infrastructure projects",trump,2020-06-04
mollie hemingway: trump and many americans do not want unity with what the left believes,trump,2020-06-04
biden calls mattis' criticism of trump a 'powerful indictment',trump,2020-06-04
culture war escalates as trump says media glorify rioters,trump,2020-06-04
trump picks sides in gop runoff for mark meadows' house seat,trump,2020-06-04
dwayne 'the rock' johnson appears to jab trump's lack of leadership amid protests: ‘where are you?’,trump,2020-06-04
white house spokesman pressed on trump criticizing 'overrated' mattis: how is this 'uniting people?',trump,2020-06-04
secret service says it did not use tear gas when lafayette park was cleared before trump church visit,trump,2020-06-04
president trump says america's economic recovery has begun,trump,2020-06-05
"trump touts jobless dip, first good news since pandemic",trump,2020-06-05
deroy mudock: mattis wrongly criticizes trump – ignores facts about rioting and president’s accomplishments,trump,2020-06-05
deroy murdock: mattis wrongly criticizes trump – ignores facts about rioting and president’s accomplishments,trump,2020-06-05
"trump holds major campaign meetings at white house, as polls show biden ahead",trump,2020-06-05
president trump ridicules green new deal as 'baby talk' that 'would kill our country',trump,2020-06-05
"hannity fires back at sharpton attacks on trump during floyd service: 'you've got fear, division, hatred'",trump,2020-06-05
us soccer star michael bradley slams trump in wake of protests: 'there isn't a moral bone in his body',trump,2020-06-05
ny times columnist paul krugman apologizes for floating ‘conspiracy theory’ about jobs numbers that trump influenced labor data,trump,2020-06-05
"trump insists economic recovery coming 'earlier' than thought, tells maine governor 'open your state up'",trump,2020-06-05
cbs news reporter slams trump for trip to maine amid george floyd protests: 'one of the whitest states in america',trump,2020-06-05
"trump taunts biden on 1994 crime bill, black incarcerations",trump,2020-06-05
trump to hold press conference on job numbers,trump,2020-06-05
trump touts letter from ex-attorney dowd attacking mattis: 'you need to bone up on your homework',trump,2020-06-05
trump hits pbs' yamiche alcindor for asking how '.1 percent' increase in black unemployment is a 'victory',trump,2020-06-05
trump criticizes saints' drew brees after apologizing for stance on kneeling during the national anthem,trump,2020-06-05
sen. graham defends trump: 'this was a divided nation before president trump got elected',trump,2020-06-06
david limbaugh: is there anything trump's haters won't blame on him?,trump,2020-06-06
'tiger king' star jeff lowe rips joe exotic's request for pardon from trump: 'he's a horrible person',trump,2020-06-06
"andy puzder: falling jobless rate shows economy is recovering from coronavirus closures, as trump predicted",trump,2020-06-06
trump jr. calls into radio show to thank veteran allegedly attacked for supporting potus,trump,2020-06-06
anti-trump gop group targets president over coronavirus,trump,2020-06-06
maryland sheriff: dc mayor muriel bowser is wrong to push back against trump's troops,trump,2020-06-06
"richard fowler: after george floyd death, trump divides americans instead of uniting us against racism",trump,2020-06-06
twitter search for 'racist' shows trump's profile as top account,trump,2020-06-06
"trump directs pentagon to pull 9,500 us troops from germany by september",trump,2020-06-06
senior trump aide apologizes after promoting video of chainsaw-wielding man yelling racial slur,trump,2020-06-06
"laura ingraham: 'experts' wrong about trump once again, may jobs report shows",trump,2020-06-06
mark zuckerberg explains why trump message on facebook wasn't censored after employee backlash,trump,2020-06-06
arnon mishkin: one crisis too many — will the riots be trump's undoing?,trump,2020-06-06
saints players praise drew brees for response to trump's criticism: 'apology is a form of true leadership',trump,2020-06-06
gopers on capitol hill aren't wavering in support of trump despite criticism,trump,2020-06-07
ivanka trump rips ‘cancel culture’ after she’s dropped as commencement speaker,trump,2020-06-07
"bush, romney not expected to support trump, nyt reports",trump,2020-06-07
giuliani 'disappointed' in reports that bush won't back trump's reelection; says romney has 'chip on his shoulder',trump,2020-06-07
"massachusetts trump supporter, 82, ‘violently assaulted’ by motorist, 27, police say",trump,2020-06-07
colin powell says he 'cannot in any way support' trump; announces he will vote for biden,trump,2020-06-07
lara trump rips biden on floyd 'pandering': ex-vp has done 'nothing' for african-americans,trump,2020-06-07
"trump rails against biden, 'radical left democrats' over movement to defund police",trump,2020-06-07
trump withdraws national guard from dc now that 'everything is under perfect control',trump,2020-06-07
