headlines,terms,dates
president trump on the brian kilmeade show,trump,2020-06-03
fox news poll: biden leads trump in wisconsin,trump,2020-06-03
"fox news poll: biden-trump tossup in ohio, 82 percent approve of dewine",trump,2020-06-03
biden and trump all tied up in texas: poll,trump,2020-06-03
cuomo says trump policies ‘vicious’ for state: ‘he has failed to do anything positive for new york’,trump,2020-06-03
dwayne 'the rock' johnson appears to jab trump's lack of leadership amid protests: ‘where are you?’,trump,2020-06-04
"grassley holds up key trump nominations, demands white house explain inspector general firings",trump,2020-06-04
cnn skips trump's live remarks on surprisingly good labor market report,trump,2020-06-05
rebecca grant: criticizing trump ok for retired military leaders – but they can't be immune from criticism,trump,2020-06-05
president trump ridicules green new deal as 'baby talk' that 'would kill our country',trump,2020-06-05
trump hits pbs' yamiche alcindor for asking how '.1 percent' increase in black unemployment is a 'victory',trump,2020-06-05
ny times columnist paul krugman apologizes for floating ‘conspiracy theory’ about jobs numbers that trump influenced labor data,trump,2020-06-05
president trump touts surprise us job gains despite coronavirus pandemic,trump,2020-06-05
us soccer star michael bradley slams trump in wake of protests: 'there isn't a moral bone in his body',trump,2020-06-05
"trump holds major campaign meetings at white house, as polls show biden ahead",trump,2020-06-05
deroy murdock: mattis wrongly criticizes trump – ignores facts about rioting and president’s accomplishments,trump,2020-06-05
mainstream media falsely frames trump's 'great day' george floyd remarks on jobs report instead of equality under law,trump,2020-06-05
"biden rips trump ‘crowing’ over jobs report, calls president’s remarks on floyd ‘despicable’",trump,2020-06-05
"andy puzder: falling jobless rate shows economy is recovering from coronavirus closures, as trump predicted",trump,2020-06-06
anti-trump gop group targets president over coronavirus,trump,2020-06-06
'tiger king' star jeff lowe rips joe exotic's request for pardon from trump: 'he's a horrible person',trump,2020-06-06
"laura ingraham: 'experts' wrong about trump once again, may jobs report shows",trump,2020-06-06
"richard fowler: after george floyd death, trump divides americans instead of uniting us against racism",trump,2020-06-06
arnon mishkin: one crisis too many — will the riots be trump's undoing?,trump,2020-06-06
gopers on capitol hill aren't wavering in support of trump despite criticism,trump,2020-06-07
"mike huckabee encourages all republicans to 'make the right move,' support trump's reelection",trump,2020-06-07
trump supporters pumping thousands into aoc's primary opponent's coffers: report,trump,2020-06-08
steve hilton: trump's gains with african-americans will be lost if he does not lead on police reform,trump,2020-06-08
poll puts trump down 14 points to biden in general election showdown,trump,2020-06-08
pro-biden pac aims to weaken trump with seniors in key battlegrounds,trump,2020-06-08
"christian whiton: trump is right to withdraw 9,500 u.s. troops from germany – he should pull out even more",trump,2020-06-09
"george p. bush, texas land commissioner and son of jeb, will vote for trump",trump,2020-06-09
cal thomas: trump and african-americans – these are the actions he must take now,trump,2020-06-09
"trump campaign demands retraction, apology from cnn over ‘intentionally false, defamatory’ poll, network says no",trump,2020-06-10
"brian arbour: trump reelection threatened by low approval ratings, coronavirus pandemic and racial strife",trump,2020-06-10
"trump says he intends to hold rallies in oklahoma, florida, arizona, north carolina after coronavirus hiatus",trump,2020-06-10
"patti lupone says 'this country is doomed' amid coronavirus crisis, reveals plans if trump wins second term",trump,2020-06-10
tim graham: fact-checkers vs. trump – here's what they are too biased to recognize,trump,2020-06-10
susan rice: trump's response to george floyd dc unrest proves it should become a state,trump,2020-06-10
trump’s approval rating drops to 39 percent in gallup poll,trump,2020-06-10
