date,score
2020-05-26,1.0
2020-05-27,2.3333333333333335
2020-05-28,3.0
2020-05-29,2.0
2020-05-30,2.0
2020-06-01,2.0
2020-06-02,2.0
2020-06-03,2.0
2020-06-04,2.0
2020-06-05,1.0
2020-06-06,2.0
2020-06-08,2.0
2020-06-09,1.5
2020-06-10,1.0
2020-06-11,1.6666666666666667
2020-06-12,1.8571428571428572
2020-06-13,2.0
2020-06-14,2.0
2020-06-15,2.0
2020-06-16,1.5
2020-06-17,2.0
2020-06-18,1.75
2020-06-19,2.0
2020-06-20,2.0
2020-06-21,1.75
2020-06-22,1.5
2020-06-23,2.5
2020-06-24,2.3333333333333335
2020-06-25,2.0
2020-06-26,2.2
2020-06-27,2.25
