,date,score
0,2020-04-11,35.875
1,2020-04-12,31.5
2,2020-04-13,44.5
3,2020-04-14,59.0
4,2020-04-15,52.625
5,2020-04-16,41.625
6,2020-04-17,35.375
7,2020-04-18,37.375
8,2020-04-19,37.625
9,2020-04-20,29.125
10,2020-04-21,29.875
11,2020-04-22,27.75
12,2020-04-23,26.75
13,2020-04-24,27.25
14,2020-04-25,41.0
15,2020-04-26,45.5
16,2020-04-27,36.0
17,2020-04-28,49.875
18,2020-04-29,50.5
19,2020-04-30,46.75
20,2020-05-01,70.75
21,2020-05-02,53.5
22,2020-05-03,40.75
23,2020-05-04,30.875
24,2020-05-05,30.125
25,2020-05-06,26.625
26,2020-05-07,24.625
27,2020-05-08,30.25
28,2020-05-09,24.125
29,2020-05-10,24.125
30,2020-05-11,23.25
31,2020-05-12,30.125
32,2020-05-13,26.125
33,2020-05-14,27.0
34,2020-05-15,29.875
35,2020-05-16,30.5
36,2020-05-17,25.0
37,2020-05-18,22.125
38,2020-05-19,23.25
39,2020-05-20,28.875
40,2020-05-21,28.875
41,2020-05-22,93.0
42,2020-05-23,96.375
43,2020-05-24,58.875
44,2020-05-25,48.625
45,2020-05-26,53.625
46,2020-05-27,33.125
47,2020-05-28,39.25
48,2020-05-29,39.125
49,2020-05-30,31.25
50,2020-05-31,34.25
51,2020-06-01,31.25
52,2020-06-02,63.25
53,2020-06-03,49.25
54,2020-06-04,38.75
55,2020-06-05,35.75
56,2020-06-06,43.75
57,2020-06-07,42.375
58,2020-06-08,39.25
59,2020-06-09,37.0
60,2020-06-10,31.75
61,2020-06-11,36.625
62,2020-06-12,36.5
63,2020-06-13,37.875
64,2020-06-14,40.625
65,2020-06-15,35.375
66,2020-06-16,32.0
67,2020-06-17,35.375
68,2020-06-18,32.25
69,2020-06-19,41.875
70,2020-06-20,45.125
71,2020-06-21,60.0
72,2020-06-22,41.5
73,2020-06-23,51.375
74,2020-06-24,45.75
75,2020-06-25,51.625
76,2020-06-26,64.75
77,2020-06-27,46.5
78,2020-06-28,48.875
79,2020-06-29,42.75
80,2020-06-30,52.625
81,2020-07-01,41.25
82,2020-07-02,40.0
83,2020-07-03,37.125
84,2020-07-04,41.0
85,2020-07-05,45.0
86,2020-07-06,45.625
87,2020-07-07,34.375
88,2020-07-08,39.875
89,2020-07-09,51.0
90,2020-07-10,51.125
91,2020-07-11,47.0
