date,score_mn
2020-06-05,2.025
2020-06-06,1.75
2020-06-07,1.7999999999999998
2020-06-08,1.8250000000000002
2020-06-09,1.875
2020-06-10,1.9249999999999998
2020-06-11,1.85
2020-06-12,1.8
2020-06-13,1.87
2020-06-14,1.69
2020-06-15,1.875
2020-06-16,1.75
2020-06-17,1.9249999999999998
2020-06-18,1.85
2020-06-19,1.75
2020-06-20,1.9
2020-06-21,1.5750000000000002
2020-06-22,1.925
2020-06-23,1.895
2020-06-24,1.95
2020-06-25,1.85
2020-06-26,1.875
2020-06-27,1.8
2020-06-28,1.775
2020-06-29,1.75
2020-06-30,1.9
2020-07-01,1.975
2020-07-02,1.9249999999999998
2020-07-03,1.83
2020-07-04,1.83
