,date,score
0,2020-06-05,2.0
1,2020-06-06,2.333333333333333
2,2020-06-07,2.0
3,2020-06-08,1.5
4,2020-06-09,1.65
5,2020-06-10,1.6666666666666667
6,2020-06-11,2.1666666666666665
7,2020-06-12,2.0
8,2020-06-13,2.5
9,2020-06-14,1.65
10,2020-06-15,2.0
11,2020-06-16,2.0
12,2020-06-17,2.0
13,2020-06-18,2.0
14,2020-06-19,1.5
15,2020-06-20,1.65
16,2020-06-21,1.0
17,2020-06-22,1.5
18,2020-06-23,2.0
19,2020-06-24,2.0
20,2020-06-25,1.5
21,2020-06-26,2.5
22,2020-06-27,1.0
23,2020-06-28,1.4
24,2020-06-29,1.5
25,2020-06-30,1.75
26,2020-07-01,2.0
27,2020-07-02,1.5
28,2020-07-03,1.65
29,2020-07-04,1.65
