,Unnamed: 0,date,score
0,0,2016-10-08,0.8973843058350099
1,1,2016-10-09,0.9443298969072164
2,2,2016-10-10,0.8619909502262444
3,3,2016-10-11,0.1574642126789366
4,4,2016-10-12,0.5080321285140562
5,5,2016-10-13,0.3927125506072873
6,6,2016-10-14,0.8282828282828283
7,7,2016-10-15,0.4723926380368098
8,8,2016-10-16,0.948024948024948
9,9,2016-10-17,0.9472573839662448
10,10,2016-10-18,0.96875
11,11,2016-10-19,0.9279661016949152
12,12,2016-10-20,1.0476190476190477
13,13,2016-10-21,0.8590021691973969
14,14,2016-10-22,0.979757085020243
15,15,2016-10-23,0.6756756756756757
16,16,2016-10-24,0.903370786516854
17,17,2016-10-25,0.6643598615916955
18,18,2016-10-26,0.9212765957446808
19,19,2016-10-27,0.9470468431771896
20,20,2016-10-28,0.9816326530612244
21,21,2016-10-29,1.1702127659574468
22,22,2016-10-30,0.8854166666666666
23,23,2016-10-31,0.8733333333333333
24,24,2016-11-01,0.06841046277665996
25,25,2016-11-02,0.3391959798994975
26,26,2016-11-03,1.040339702760085
27,27,2016-11-04,0.995991983967936
28,28,2016-11-05,0.8945233265720081
29,29,2016-11-06,0.8385093167701864
