,date,score
0,2020-06-05,1.7727272727272727
1,2020-06-06,1.0
2,2020-06-07,1.0
3,2020-06-08,1.0
4,2020-06-09,1.0
5,2020-06-10,2.0
6,2020-06-11,1.5
7,2020-06-12,1.6666666666666667
8,2020-06-13,1.3333333333333333
9,2020-06-14,1.0
10,2020-06-15,1.75
11,2020-06-16,1.5555555555555556
12,2020-06-17,2.0
13,2020-06-18,1.9166666666666667
14,2020-06-19,1.7
15,2020-06-20,1.8333333333333333
16,2020-06-21,1.5
17,2020-06-22,2.2222222222222223
18,2020-06-23,1.7142857142857142
19,2020-06-24,2.25
20,2020-06-25,2.0
21,2020-06-26,2.6
22,2020-06-27,2.0
23,2020-06-28,2.5
24,2020-06-29,2.0
25,2020-06-30,2.0
26,2020-07-01,1.5
27,2020-07-02,3.0
28,2020-07-03,1.7727272727272727
29,2020-07-04,1.7727272727272727
