,date,score
0,2020-05-26,-1
1,2020-05-27,-1
2,2020-05-28,-1
3,2020-05-29,-1
4,2020-05-30,-1
5,2020-05-31,-1
6,2020-06-01,-1
7,2020-06-02,-1
8,2020-06-03,-1
9,2020-06-04,-1
10,2020-06-05,-1
11,2020-06-06,-1
12,2020-06-07,-1
13,2020-06-08,-1
14,2020-06-09,-1
15,2020-06-10,-1
16,2020-06-11,-1
17,2020-06-12,-1
18,2020-06-13,-1
19,2020-06-14,-1
20,2020-06-15,-1
21,2020-06-16,-1
22,2020-06-17,-1
23,2020-06-18,-1
24,2020-06-19,-1
25,2020-06-20,-1
26,2020-06-21,-1
27,2020-06-22,-1
28,2020-06-23,-1
29,2020-06-24,-1
30,2020-06-25,-1
31,2020-06-26,-1
32,2020-06-27,-1
