,date,score
0,2020-06-05,1.8
1,2020-06-06,1.7
2,2020-06-07,1.7
3,2020-06-08,1.75
4,2020-06-09,1.85
5,2020-06-10,1.65
6,2020-06-11,1.85
7,2020-06-12,1.9
8,2020-06-13,1.85
9,2020-06-14,1.8235294117647056
10,2020-06-15,2.0
11,2020-06-16,1.6
12,2020-06-17,1.85
13,2020-06-18,2.05
14,2020-06-19,1.95
15,2020-06-20,1.85
16,2020-06-21,1.5
17,2020-06-22,1.9
18,2020-06-23,1.8404293381037569
19,2020-06-24,1.9
20,2020-06-25,2.05
21,2020-06-26,1.65
22,2020-06-27,1.85
23,2020-06-28,1.7
24,2020-06-29,1.65
25,2020-06-30,1.95
26,2020-07-01,1.85
27,2020-07-02,2.05
28,2020-07-03,1.808586762075134
29,2020-07-04,1.808586762075134
