,1
0,1
1,2
2,2
3,0
4,0
5,1
6,0
7,1
8,1
9,1
10,1
11,1
12,2
13,1
14,1
15,0
16,1
17,0
18,1
19,0
20,0
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,1
51,0
52,1
53,1
54,1
55,0
56,0
57,1
58,1
59,0
60,2
61,1
62,2
63,1
64,0
65,2
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,0
87,1
88,0
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,1
100,1
101,1
102,1
103,0
104,0
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,2
127,1
128,0
129,1
130,1
131,0
132,0
133,2
134,0
135,2
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,0
144,0
145,0
146,1
147,1
148,1
149,2
150,0
151,2
152,0
153,1
154,0
155,1
156,1
157,1
158,2
159,1
160,2
161,2
162,0
163,1
164,0
165,1
166,0
167,0
168,1
169,2
170,2
171,1
172,1
173,2
174,1
175,1
176,1
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,2
197,1
198,1
199,0
200,2
201,1
202,1
203,1
204,0
205,1
206,1
207,0
208,0
209,2
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,0
218,0
219,1
220,1
221,2
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,0
240,1
241,1
242,0
243,0
244,1
245,1
246,1
247,2
248,2
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,2
307,1
308,2
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,2
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,2
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,1
379,2
380,1
381,2
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,2
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,2
405,1
406,1
407,2
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,2
416,2
417,1
418,1
419,2
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,2
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,2
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
