,1
0,1
1,0
2,1
3,1
4,0
5,2
6,0
7,0
8,1
9,2
10,0
11,1
12,2
13,0
14,0
15,1
16,1
17,0
18,2
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,2
30,2
31,0
32,1
33,0
34,2
35,2
36,0
37,0
38,2
39,0
40,0
41,2
42,2
43,1
44,0
45,0
46,0
47,0
48,2
49,2
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,2
58,2
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,2
67,0
68,0
69,1
70,2
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,0
87,0
88,1
89,0
90,1
91,0
92,1
93,0
94,2
95,1
96,0
97,1
98,1
99,0
100,0
101,0
102,0
103,1
104,2
105,1
106,0
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,1
115,0
116,0
117,1
118,0
119,1
120,0
121,0
122,2
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,0
139,0
140,0
141,1
142,0
143,0
144,2
145,0
146,1
147,1
148,0
149,1
150,2
151,1
152,1
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,2
171,1
172,1
173,0
174,1
175,0
176,0
177,0
178,2
179,1
180,1
181,1
182,0
183,2
184,2
185,1
186,0
187,0
188,1
189,2
190,0
191,1
192,0
193,2
194,0
195,1
196,1
197,0
198,0
199,0
200,1
201,0
202,2
203,0
204,0
205,1
206,1
207,2
208,0
209,0
210,1
211,1
212,2
213,0
214,1
215,2
216,1
217,0
218,2
219,2
220,1
221,0
222,1
223,0
224,0
225,2
226,2
227,1
228,0
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,1
238,2
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,1
249,0
250,0
251,1
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,1
263,1
264,1
265,0
266,0
267,2
268,1
269,1
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,0
300,0
301,0
302,1
303,0
304,1
305,0
306,2
307,1
308,0
309,2
310,0
311,1
312,1
313,0
314,0
315,1
316,0
317,1
318,0
319,0
320,0
321,0
322,2
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,1
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,1
339,0
340,1
341,2
342,0
343,0
344,1
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,0
353,1
354,0
355,0
356,1
357,0
358,1
359,2
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,0
387,1
388,0
389,1
390,0
391,1
392,2
393,2
394,0
395,1
396,0
397,2
398,1
399,1
400,0
401,2
402,1
403,1
404,2
405,2
406,1
407,1
408,1
409,1
410,1
411,2
412,2
413,1
414,1
415,1
416,1
417,1
418,1
419,0
420,2
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,2
430,1
431,2
432,1
433,2
434,1
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,0
445,1
446,1
447,1
448,1
449,1
450,0
451,1
452,1
453,1
454,1
455,1
456,0
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,2
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,1
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,2
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,2
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,0
532,1
533,2
534,1
535,1
536,0
537,1
538,1
539,1
540,0
541,2
542,1
543,1
544,1
545,1
546,1
547,2
548,1
549,0
550,1
551,1
552,2
553,1
554,1
555,1
556,2
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,2
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,2
575,2
576,1
577,1
578,2
579,1
580,0
581,2
582,2
583,1
584,0
585,1
586,1
587,1
588,2
589,2
590,1
591,1
592,1
593,1
594,1
595,0
596,1
597,1
598,0
599,1
600,1
601,2
602,0
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,2
625,1
626,1
627,1
628,1
629,2
630,1
631,1
632,1
633,0
634,1
635,1
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,0
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,1
663,0
664,2
665,1
666,1
667,1
668,1
669,1
670,1
671,0
672,2
673,1
674,2
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,2
686,1
687,1
688,0
689,1
690,0
691,1
692,1
693,1
694,1
695,2
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
