,1
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,1
8,0
9,1
10,2
11,0
12,1
13,1
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,2
24,0
25,1
26,1
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,0
43,1
44,1
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,2
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,2
84,0
85,2
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,0
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,0
111,1
112,1
113,1
114,1
115,2
116,0
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,2
131,1
132,0
133,0
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,0
143,1
144,0
145,0
146,2
147,0
148,0
149,1
150,2
151,0
152,0
153,1
154,0
155,1
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,2
164,0
165,0
166,0
167,0
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,2
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,1
216,2
217,1
218,1
219,1
220,0
221,1
222,0
223,2
224,0
225,0
226,0
227,0
228,0
229,1
230,2
231,1
232,0
233,0
234,1
235,0
236,1
237,0
238,0
239,2
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,2
248,0
249,1
250,1
251,1
252,1
253,0
254,0
255,1
256,1
257,0
258,1
259,1
260,2
261,1
262,1
263,1
264,1
265,0
266,1
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,1
275,0
276,1
277,2
278,1
279,1
280,1
281,1
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,1
290,1
291,0
292,0
293,0
294,1
295,0
296,1
297,1
298,0
299,0
300,1
301,0
302,1
303,1
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,2
312,0
313,1
314,0
315,1
316,2
317,1
318,1
319,1
320,1
321,0
322,1
323,1
324,1
325,1
326,1
327,0
328,2
329,0
330,1
331,0
332,0
333,1
334,0
335,0
336,1
337,2
338,1
339,1
340,1
341,2
342,1
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,1
351,0
352,0
353,1
354,1
355,0
356,0
357,2
358,0
359,1
360,1
361,1
362,0
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,2
383,0
384,1
385,1
386,1
387,0
388,0
389,0
390,0
391,1
392,2
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,1
405,1
406,0
407,1
408,1
409,1
410,1
411,2
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,2
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,2
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,2
524,1
525,1
526,1
527,1
528,2
529,1
530,1
531,1
532,1
