,Unnamed: 0,date,score
0,0,2012-10-18,1.0831556503198294
1,1,2012-10-19,1.0920245398773003
2,2,2012-10-20,1.1036144578313254
3,3,2012-10-21,1.1113744075829384
4,4,2012-10-22,1.3127572016460904
5,5,2012-10-23,1.2111801242236024
6,6,2012-10-24,1.184265010351967
7,7,2012-10-25,1.1494949494949496
8,8,2012-10-26,1.0898058252427183
9,9,2012-10-27,1.1002044989775048
10,10,2012-10-28,1.3752535496957403
11,11,2012-10-29,1.048016701461378
12,12,2012-10-30,1.329764453961456
13,13,2012-10-31,1.2471131639722863
14,14,2012-11-01,0.9413043478260871
15,15,2012-11-02,0.9715536105032824
16,16,2012-11-03,1.1810344827586208
17,17,2012-11-04,1.1703406813627255
