,date,score
0,2020-05-27,10.9
1,2020-05-28,1.1
2,2020-05-29,4.2
3,2020-05-30,4.8
4,2020-05-31,10.1
5,2020-06-01,0.5
6,2020-06-02,4.8
7,2020-06-03,0.9
8,2020-06-04,3.7
9,2020-06-05,6.2
10,2020-06-06,4.5
11,2020-06-07,0.8
12,2020-06-08,0.6
13,2020-06-09,15.4
14,2020-06-10,19.4
15,2020-06-11,13.9
16,2020-06-12,16.0
17,2020-06-13,9.5
18,2020-06-14,10.6
19,2020-06-15,21.1
20,2020-06-16,20.6
21,2020-06-17,10.8
22,2020-06-18,4.4
23,2020-06-19,19.7
24,2020-06-20,4.5
25,2020-06-21,22.9
26,2020-06-22,80.4
27,2020-06-23,51.6
28,2020-06-24,14.0
29,2020-06-25,16.5
30,2020-06-26,8.7
31,2020-06-27,8.6
32,2020-06-28,7.8
33,2020-06-29,3.5
34,2020-06-30,23.1
