,date,score
0,2016-08-07,0.0
1,2016-08-08,0.0
2,2016-08-09,22.0
3,2016-08-10,0.0
4,2016-08-11,0.0
5,2016-08-12,23.0
6,2016-08-13,0.0
7,2016-08-14,0.0
8,2016-08-15,22.0
9,2016-08-16,0.0
10,2016-08-17,0.0
11,2016-08-18,0.0
12,2016-08-19,0.0
13,2016-08-20,0.0
14,2016-08-21,0.0
15,2016-08-22,44.0
16,2016-08-23,45.0
17,2016-08-24,0.0
18,2016-08-25,0.0
19,2016-08-26,21.0
20,2016-08-27,0.0
21,2016-08-28,0.0
22,2016-08-29,41.0
23,2016-08-30,0.0
24,2016-08-31,0.0
25,2016-09-01,0.0
26,2016-09-02,21.0
27,2016-09-03,0.0
28,2016-09-04,0.0
29,2016-09-05,0.0
30,2016-09-06,0.0
31,2016-09-07,0.0
32,2016-09-08,20.0
33,2016-09-09,21.0
34,2016-09-10,0.0
35,2016-09-11,23.0
36,2016-09-12,20.0
37,2016-09-13,20.0
38,2016-09-14,59.0
39,2016-09-15,20.0
40,2016-09-16,31.0
41,2016-09-17,0.0
42,2016-09-18,0.0
43,2016-09-19,19.0
44,2016-09-20,20.0
45,2016-09-21,20.0
46,2016-09-22,20.0
47,2016-09-23,20.0
48,2016-09-24,0.0
49,2016-09-25,0.0
50,2016-09-26,39.0
51,2016-09-27,59.0
52,2016-09-28,60.0
53,2016-09-29,20.0
54,2016-09-30,41.0
55,2016-10-01,0.0
56,2016-10-02,23.0
57,2016-10-03,39.0
58,2016-10-04,0.0
59,2016-10-05,29.0
60,2016-10-06,0.0
61,2016-10-07,20.0
62,2016-10-08,23.0
63,2016-10-09,23.0
64,2016-10-10,20.0
65,2016-10-11,20.0
66,2016-10-12,20.0
67,2016-10-13,20.0
68,2016-10-14,31.0
69,2016-10-15,0.0
70,2016-10-16,47.0
71,2016-10-17,20.0
72,2016-10-18,39.0
73,2016-10-19,20.0
74,2016-10-20,49.0
75,2016-10-21,20.0
76,2016-10-22,0.0
77,2016-10-23,0.0
78,2016-10-24,48.0
79,2016-10-25,29.0
80,2016-10-26,58.0
81,2016-10-27,78.0
82,2016-10-28,21.0
83,2016-10-29,24.0
84,2016-10-30,23.0
85,2016-10-31,19.0
86,2016-11-01,70.0
87,2016-11-02,29.0
88,2016-11-03,55.0
89,2016-11-04,100.0
90,2016-11-05,0.0
91,2016-11-06,91.0
92,2016-11-07,75.0
93,2016-11-08,64.0
