,state,score
0,US,5.957446808510638
1,US-AL,2.978723404255319
2,US-AK,2.978723404255319
3,US-AZ,2.978723404255319
4,US-AR,2.978723404255319
5,US-CA,2.978723404255319
6,US-CO,2.978723404255319
7,US-CT,2.978723404255319
8,US-DE,2.978723404255319
9,US-DC,2.978723404255319
10,US-FL,2.978723404255319
11,US-GA,2.978723404255319
12,US-HI,2.978723404255319
13,US-ID,2.978723404255319
14,US-IL,2.978723404255319
15,US-IN,2.978723404255319
16,US-IA,2.978723404255319
17,US-KS,2.978723404255319
18,US-KY,2.978723404255319
19,US-LA,2.978723404255319
20,US-ME,2.978723404255319
21,US-MD,2.978723404255319
22,US-MA,1.0638297872340425
23,US-MI,2.978723404255319
24,US-MN,1.0638297872340425
25,US-MS,2.978723404255319
26,US-MO,2.978723404255319
27,US-MT,2.978723404255319
28,US-NE,2.978723404255319
29,US-NV,2.978723404255319
30,US-NH,2.978723404255319
31,US-NJ,2.978723404255319
32,US-NM,2.978723404255319
33,US-NY,2.978723404255319
34,US-NC,2.978723404255319
35,US-ND,2.978723404255319
36,US-OH,2.978723404255319
37,US-OK,2.978723404255319
38,US-OR,2.978723404255319
39,US-PA,2.978723404255319
40,US-RI,2.978723404255319
41,US-SC,2.978723404255319
42,US-SD,2.978723404255319
43,US-TN,2.978723404255319
44,US-TX,2.978723404255319
45,US-UT,2.978723404255319
46,US-VT,2.978723404255319
47,US-VA,2.978723404255319
48,US-WA,2.978723404255319
49,US-WV,2.978723404255319
50,US-WI,2.978723404255319
51,US-WY,2.978723404255319
