date,hillary immigration,isPartial
2016-08-07,43,False
2016-08-08,0,False
2016-08-09,0,False
2016-08-10,0,False
2016-08-11,0,False
2016-08-12,0,False
2016-08-13,0,False
2016-08-14,0,False
2016-08-15,0,False
2016-08-16,0,False
2016-08-17,0,False
2016-08-18,0,False
2016-08-19,37,False
2016-08-20,0,False
2016-08-21,0,False
2016-08-22,71,False
2016-08-23,35,False
2016-08-24,34,False
2016-08-25,33,False
2016-08-26,34,False
2016-08-27,0,False
2016-08-28,0,False
2016-08-29,0,False
2016-08-30,66,False
2016-08-31,33,False
2016-09-01,34,False
2016-09-02,0,False
2016-09-03,0,False
2016-09-04,43,False
2016-09-05,0,False
2016-09-06,100,False
2016-09-07,33,False
2016-09-08,0,False
2016-09-09,34,False
2016-09-10,0,False
2016-09-11,0,False
2016-09-12,0,False
2016-09-13,0,False
2016-09-14,32,False
2016-09-15,0,False
2016-09-16,0,False
2016-09-17,0,False
2016-09-18,0,False
2016-09-19,63,False
2016-09-20,0,False
2016-09-21,0,False
2016-09-22,32,False
2016-09-23,33,False
2016-09-24,0,False
2016-09-25,0,False
2016-09-26,31,False
2016-09-27,47,False
2016-09-28,32,False
2016-09-29,32,False
2016-09-30,0,False
2016-10-01,37,False
2016-10-02,0,False
2016-10-03,63,False
2016-10-04,31,False
2016-10-05,63,False
2016-10-06,31,False
2016-10-07,0,False
2016-10-08,0,False
2016-10-09,0,False
2016-10-10,0,False
2016-10-11,60,False
2016-10-12,30,False
2016-10-13,31,False
2016-10-14,32,False
2016-10-15,0,False
2016-10-16,36,False
2016-10-17,0,False
2016-10-18,31,False
2016-10-19,31,False
2016-10-20,61,False
2016-10-21,62,False
2016-10-22,0,False
2016-10-23,37,False
2016-10-24,31,False
2016-10-25,31,False
2016-10-26,39,False
2016-10-27,50,False
2016-10-28,32,False
2016-10-29,0,False
2016-10-30,0,False
2016-10-31,30,False
2016-11-01,53,False
2016-11-02,29,False
2016-11-03,37,False
2016-11-04,94,False
2016-11-05,0,False
2016-11-06,36,False
2016-11-07,30,False
2016-11-08,72,False
