date,obama immigration,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,33,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,30,False
2012-08-15,29,False
2012-08-16,0,False
2012-08-17,0,False
2012-08-18,65,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,0,False
2012-08-22,28,False
2012-08-23,28,False
2012-08-24,0,False
2012-08-25,31,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,32,False
2012-08-29,34,False
2012-08-30,0,False
2012-08-31,0,False
2012-09-01,0,False
2012-09-02,42,False
2012-09-03,0,False
2012-09-04,0,False
2012-09-05,0,False
2012-09-06,0,False
2012-09-07,34,False
2012-09-08,0,False
2012-09-09,38,False
2012-09-10,0,False
2012-09-11,0,False
2012-09-12,0,False
2012-09-13,0,False
2012-09-14,0,False
2012-09-15,42,False
2012-09-16,40,False
2012-09-17,67,False
2012-09-18,0,False
2012-09-19,0,False
2012-09-20,68,False
2012-09-21,0,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,69,False
2012-09-25,34,False
2012-09-26,0,False
2012-09-27,35,False
2012-09-28,36,False
2012-09-29,41,False
2012-09-30,40,False
2012-10-01,34,False
2012-10-02,33,False
2012-10-03,0,False
2012-10-04,33,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,39,False
2012-10-08,33,False
2012-10-09,0,False
2012-10-10,0,False
2012-10-11,0,False
2012-10-12,35,False
2012-10-13,41,False
2012-10-14,0,False
2012-10-15,0,False
2012-10-16,33,False
2012-10-17,100,False
2012-10-18,33,False
2012-10-19,0,False
2012-10-20,42,False
2012-10-21,0,False
2012-10-22,49,False
2012-10-23,63,False
2012-10-24,0,False
2012-10-25,32,False
2012-10-26,0,False
2012-10-27,40,False
2012-10-28,79,False
2012-10-29,0,False
2012-10-30,32,False
2012-10-31,34,False
2012-11-01,35,False
2012-11-02,69,False
2012-11-03,39,False
2012-11-04,38,False
2012-11-05,32,False
2012-11-06,31,False
