date,trump immigration,isPartial
2020-05-27,0,False
2020-05-28,21,False
2020-05-29,44,False
2020-05-30,26,False
2020-05-31,0,False
2020-06-01,22,False
2020-06-02,21,False
2020-06-03,20,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,25,False
2020-06-07,0,False
2020-06-08,20,False
2020-06-09,21,False
2020-06-10,22,False
2020-06-11,21,False
2020-06-12,23,False
2020-06-13,28,False
2020-06-14,0,False
2020-06-15,22,False
2020-06-16,22,False
2020-06-17,46,False
2020-06-18,23,False
2020-06-19,24,False
2020-06-20,28,False
2020-06-21,56,False
2020-06-22,62,False
2020-06-23,100,False
2020-06-24,23,False
2020-06-25,39,False
2020-06-26,24,False
2020-06-27,27,False
2020-06-28,25,False
2020-06-29,0,False
2020-06-30,23,False
