date,trump immigration,isPartial
2016-08-07,22,False
2016-08-08,0,False
2016-08-09,13,False
2016-08-10,0,False
2016-08-11,0,False
2016-08-12,0,False
2016-08-13,0,False
2016-08-14,0,False
2016-08-15,0,False
2016-08-16,0,False
2016-08-17,13,False
2016-08-18,0,False
2016-08-19,0,False
2016-08-20,15,False
2016-08-21,30,False
2016-08-22,13,False
2016-08-23,26,False
2016-08-24,25,False
2016-08-25,24,False
2016-08-26,12,False
2016-08-27,14,False
2016-08-28,21,False
2016-08-29,18,False
2016-08-30,23,False
2016-08-31,24,False
2016-09-01,100,False
2016-09-02,24,False
2016-09-03,41,False
2016-09-04,0,False
2016-09-05,0,False
2016-09-06,23,False
2016-09-07,12,False
2016-09-08,0,False
2016-09-09,0,False
2016-09-10,0,False
2016-09-11,0,False
2016-09-12,12,False
2016-09-13,12,False
2016-09-14,0,False
2016-09-15,12,False
2016-09-16,12,False
2016-09-17,0,False
2016-09-18,0,False
2016-09-19,12,False
2016-09-20,0,False
2016-09-21,12,False
2016-09-22,0,False
2016-09-23,0,False
2016-09-24,14,False
2016-09-25,0,False
2016-09-26,12,False
2016-09-27,12,False
2016-09-28,12,False
2016-09-29,12,False
2016-09-30,0,False
2016-10-01,0,False
2016-10-02,14,False
2016-10-03,0,False
2016-10-04,0,False
2016-10-05,0,False
2016-10-06,0,False
2016-10-07,0,False
2016-10-08,0,False
2016-10-09,14,False
2016-10-10,12,False
2016-10-11,0,False
2016-10-12,0,False
2016-10-13,0,False
2016-10-14,12,False
2016-10-15,0,False
2016-10-16,0,False
2016-10-17,0,False
2016-10-18,12,False
2016-10-19,0,False
2016-10-20,23,False
2016-10-21,12,False
2016-10-22,0,False
2016-10-23,0,False
2016-10-24,12,False
2016-10-25,12,False
2016-10-26,0,False
2016-10-27,0,False
2016-10-28,12,False
2016-10-29,0,False
2016-10-30,0,False
2016-10-31,0,False
2016-11-01,0,False
2016-11-02,11,False
2016-11-03,0,False
2016-11-04,12,False
2016-11-05,0,False
2016-11-06,0,False
2016-11-07,11,False
2016-11-08,17,False
