date,hillary immigration,isPartial
2016-08-07,33,False
2016-08-08,27,False
2016-08-09,0,False
2016-08-10,0,False
2016-08-11,0,False
2016-08-12,28,False
2016-08-13,0,False
2016-08-14,0,False
2016-08-15,55,False
2016-08-16,0,False
2016-08-17,27,False
2016-08-18,42,False
2016-08-19,42,False
2016-08-20,0,False
2016-08-21,32,False
2016-08-22,55,False
2016-08-23,27,False
2016-08-24,66,False
2016-08-25,26,False
2016-08-26,26,False
2016-08-27,30,False
2016-08-28,30,False
2016-08-29,0,False
2016-08-30,25,False
2016-08-31,25,False
2016-09-01,74,False
2016-09-02,25,False
2016-09-03,0,False
2016-09-04,60,False
2016-09-05,0,False
2016-09-06,37,False
2016-09-07,36,False
2016-09-08,0,False
2016-09-09,25,False
2016-09-10,29,False
2016-09-11,0,False
2016-09-12,25,False
2016-09-13,24,False
2016-09-14,0,False
2016-09-15,25,False
2016-09-16,25,False
2016-09-17,0,False
2016-09-18,28,False
2016-09-19,0,False
2016-09-20,24,False
2016-09-21,0,False
2016-09-22,37,False
2016-09-23,0,False
2016-09-24,29,False
2016-09-25,29,False
2016-09-26,50,False
2016-09-27,48,False
2016-09-28,98,False
2016-09-29,49,False
2016-09-30,50,False
2016-10-01,29,False
2016-10-02,29,False
2016-10-03,25,False
2016-10-04,24,False
2016-10-05,24,False
2016-10-06,24,False
2016-10-07,24,False
2016-10-08,28,False
2016-10-09,0,False
2016-10-10,71,False
2016-10-11,70,False
2016-10-12,60,False
2016-10-13,0,False
2016-10-14,84,False
2016-10-15,28,False
2016-10-16,55,False
2016-10-17,48,False
2016-10-18,84,False
2016-10-19,95,False
2016-10-20,59,False
2016-10-21,48,False
2016-10-22,29,False
2016-10-23,57,False
2016-10-24,23,False
2016-10-25,57,False
2016-10-26,23,False
2016-10-27,23,False
2016-10-28,24,False
2016-10-29,0,False
2016-10-30,28,False
2016-10-31,36,False
2016-11-01,38,False
2016-11-02,94,False
2016-11-03,69,False
2016-11-04,61,False
2016-11-05,0,False
2016-11-06,28,False
2016-11-07,35,False
2016-11-08,100,False
