date,vote obama,isPartial
2012-08-06,5,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,5,False
2012-08-10,5,False
2012-08-11,6,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,6,False
2012-08-15,0,False
2012-08-16,0,False
2012-08-17,7,False
2012-08-18,9,False
2012-08-19,0,False
2012-08-20,14,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,7,False
2012-08-24,0,False
2012-08-25,0,False
2012-08-26,9,False
2012-08-27,0,False
2012-08-28,0,False
2012-08-29,5,False
2012-08-30,10,False
2012-08-31,0,False
2012-09-01,12,False
2012-09-02,0,False
2012-09-03,6,False
2012-09-04,0,False
2012-09-05,13,False
2012-09-06,10,False
2012-09-07,17,False
2012-09-08,8,False
2012-09-09,0,False
2012-09-10,6,False
2012-09-11,10,False
2012-09-12,0,False
2012-09-13,9,False
2012-09-14,0,False
2012-09-15,6,False
2012-09-16,6,False
2012-09-17,5,False
2012-09-18,0,False
2012-09-19,6,False
2012-09-20,0,False
2012-09-21,0,False
2012-09-22,8,False
2012-09-23,8,False
2012-09-24,6,False
2012-09-25,8,False
2012-09-26,0,False
2012-09-27,5,False
2012-09-28,5,False
2012-09-29,6,False
2012-09-30,6,False
2012-10-01,6,False
2012-10-02,6,False
2012-10-03,6,False
2012-10-04,24,False
2012-10-05,0,False
2012-10-06,7,False
2012-10-07,14,False
2012-10-08,8,False
2012-10-09,0,False
2012-10-10,6,False
2012-10-11,6,False
2012-10-12,0,False
2012-10-13,14,False
2012-10-14,7,False
2012-10-15,5,False
2012-10-16,8,False
2012-10-17,14,False
2012-10-18,14,False
2012-10-19,6,False
2012-10-20,0,False
2012-10-21,0,False
2012-10-22,6,False
2012-10-23,22,False
2012-10-24,6,False
2012-10-25,6,False
2012-10-26,17,False
2012-10-27,7,False
2012-10-28,13,False
2012-10-29,8,False
2012-10-30,10,False
2012-10-31,11,False
2012-11-01,11,False
2012-11-02,32,False
2012-11-03,21,False
2012-11-04,24,False
2012-11-05,36,False
2012-11-06,100,False
