date,vote obama,isPartial
2012-08-06,4,False
2012-08-07,4,False
2012-08-08,9,False
2012-08-09,0,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,6,False
2012-08-13,4,False
2012-08-14,0,False
2012-08-15,4,False
2012-08-16,4,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,4,False
2012-08-21,4,False
2012-08-22,4,False
2012-08-23,0,False
2012-08-24,5,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,4,False
2012-08-29,7,False
2012-08-30,0,False
2012-08-31,14,False
2012-09-01,6,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,4,False
2012-09-05,12,False
2012-09-06,6,False
2012-09-07,11,False
2012-09-08,5,False
2012-09-09,7,False
2012-09-10,4,False
2012-09-11,0,False
2012-09-12,8,False
2012-09-13,4,False
2012-09-14,8,False
2012-09-15,0,False
2012-09-16,5,False
2012-09-17,4,False
2012-09-18,7,False
2012-09-19,4,False
2012-09-20,7,False
2012-09-21,0,False
2012-09-22,0,False
2012-09-23,4,False
2012-09-24,4,False
2012-09-25,12,False
2012-09-26,4,False
2012-09-27,0,False
2012-09-28,0,False
2012-09-29,5,False
2012-09-30,5,False
2012-10-01,4,False
2012-10-02,0,False
2012-10-03,8,False
2012-10-04,12,False
2012-10-05,4,False
2012-10-06,5,False
2012-10-07,0,False
2012-10-08,4,False
2012-10-09,10,False
2012-10-10,4,False
2012-10-11,0,False
2012-10-12,0,False
2012-10-13,5,False
2012-10-14,5,False
2012-10-15,6,False
2012-10-16,6,False
2012-10-17,14,False
2012-10-18,12,False
2012-10-19,6,False
2012-10-20,5,False
2012-10-21,15,False
2012-10-22,12,False
2012-10-23,9,False
2012-10-24,6,False
2012-10-25,4,False
2012-10-26,6,False
2012-10-27,10,False
2012-10-28,0,False
2012-10-29,7,False
2012-10-30,4,False
2012-10-31,16,False
2012-11-01,6,False
2012-11-02,14,False
2012-11-03,17,False
2012-11-04,28,False
2012-11-05,50,False
2012-11-06,100,False
