date,obama
2012-08-06,9
2012-08-07,10
2012-08-08,10
2012-08-09,11
2012-08-10,9
2012-08-11,12
2012-08-12,12
2012-08-13,12
2012-08-14,12
2012-08-15,13
2012-08-16,13
2012-08-17,12
2012-08-18,10
2012-08-19,10
2012-08-20,11
2012-08-21,11
2012-08-22,12
2012-08-23,13
2012-08-24,11
2012-08-25,12
2012-08-26,13
2012-08-27,14
2012-08-28,14
2012-08-29,18
2012-08-30,21
2012-08-31,24
2012-09-01,17
2012-09-02,18
2012-09-03,18
2012-09-04,21
2012-09-05,57
2012-09-06,43
2012-09-07,65
2012-09-08,25
2012-09-09,21
2012-09-10,22
2012-09-11,20
2012-09-12,21
2012-09-13,21
2012-09-14,19
2012-09-15,16
2012-09-16,14
2012-09-17,16
2012-09-18,18
2012-09-19,21
2012-09-20,21
2012-09-21,21
2012-09-22,16
2012-09-23,15
2012-09-24,17
2012-09-25,19
2012-09-26,19
2012-09-27,22
2012-09-28,20
2012-09-29,17
2012-09-30,17
2012-10-01,17
2012-10-02,19
2012-10-03,28
2012-10-04,68
2012-10-05,30
2012-10-06,22
2012-10-07,19
2012-10-08,20
2012-10-09,22
2012-10-10,23
2012-10-11,20
2012-10-12,23
2012-10-13,18
2012-10-14,16
2012-10-15,18
2012-10-16,24
2012-10-17,70
2012-10-18,33
2012-10-19,34
2012-10-20,24
2012-10-21,23
2012-10-22,26
2012-10-23,59
2012-10-24,45
2012-10-25,42
2012-10-26,37
2012-10-27,30
2012-10-28,26
2012-10-29,25
2012-10-30,26
2012-10-31,30
2012-11-01,33
2012-11-02,35
2012-11-03,32
2012-11-04,39
2012-11-05,54
2012-11-06,100
