date,romney,isPartial
2012-08-06,4,False
2012-08-07,8,False
2012-08-08,8,False
2012-08-09,6,False
2012-08-10,9,False
2012-08-11,47,False
2012-08-12,25,False
2012-08-13,15,False
2012-08-14,10,False
2012-08-15,10,False
2012-08-16,16,False
2012-08-17,11,False
2012-08-18,6,False
2012-08-19,10,False
2012-08-20,9,False
2012-08-21,7,False
2012-08-22,8,False
2012-08-23,10,False
2012-08-24,11,False
2012-08-25,11,False
2012-08-26,12,False
2012-08-27,10,False
2012-08-28,18,False
2012-08-29,36,False
2012-08-30,25,False
2012-08-31,50,False
2012-09-01,23,False
2012-09-02,18,False
2012-09-03,17,False
2012-09-04,17,False
2012-09-05,30,False
2012-09-06,24,False
2012-09-07,37,False
2012-09-08,17,False
2012-09-09,17,False
2012-09-10,16,False
2012-09-11,11,False
2012-09-12,18,False
2012-09-13,18,False
2012-09-14,17,False
2012-09-15,13,False
2012-09-16,10,False
2012-09-17,15,False
2012-09-18,39,False
2012-09-19,28,False
2012-09-20,26,False
2012-09-21,24,False
2012-09-22,17,False
2012-09-23,20,False
2012-09-24,17,False
2012-09-25,17,False
2012-09-26,17,False
2012-09-27,13,False
2012-09-28,12,False
2012-09-29,10,False
2012-09-30,11,False
2012-10-01,13,False
2012-10-02,14,False
2012-10-03,23,False
2012-10-04,100,False
2012-10-05,37,False
2012-10-06,25,False
2012-10-07,18,False
2012-10-08,19,False
2012-10-09,21,False
2012-10-10,27,False
2012-10-11,32,False
2012-10-12,27,False
2012-10-13,20,False
2012-10-14,16,False
2012-10-15,16,False
2012-10-16,18,False
2012-10-17,77,False
2012-10-18,42,False
2012-10-19,39,False
2012-10-20,31,False
2012-10-21,18,False
2012-10-22,30,False
2012-10-23,74,False
2012-10-24,32,False
2012-10-25,32,False
2012-10-26,27,False
2012-10-27,21,False
2012-10-28,25,False
2012-10-29,22,False
2012-10-30,27,False
2012-10-31,23,False
2012-11-01,35,False
2012-11-02,29,False
2012-11-03,28,False
2012-11-04,36,False
2012-11-05,51,False
2012-11-06,88,False
