date,romney,isPartial
2012-08-06,5,False
2012-08-07,7,False
2012-08-08,8,False
2012-08-09,8,False
2012-08-10,8,False
2012-08-11,46,False
2012-08-12,25,False
2012-08-13,24,False
2012-08-14,16,False
2012-08-15,5,False
2012-08-16,6,False
2012-08-17,14,False
2012-08-18,7,False
2012-08-19,12,False
2012-08-20,9,False
2012-08-21,9,False
2012-08-22,6,False
2012-08-23,12,False
2012-08-24,9,False
2012-08-25,7,False
2012-08-26,7,False
2012-08-27,8,False
2012-08-28,15,False
2012-08-29,30,False
2012-08-30,22,False
2012-08-31,52,False
2012-09-01,8,False
2012-09-02,12,False
2012-09-03,13,False
2012-09-04,14,False
2012-09-05,13,False
2012-09-06,23,False
2012-09-07,21,False
2012-09-08,9,False
2012-09-09,12,False
2012-09-10,13,False
2012-09-11,10,False
2012-09-12,14,False
2012-09-13,13,False
2012-09-14,14,False
2012-09-15,11,False
2012-09-16,7,False
2012-09-17,11,False
2012-09-18,26,False
2012-09-19,27,False
2012-09-20,21,False
2012-09-21,29,False
2012-09-22,13,False
2012-09-23,18,False
2012-09-24,16,False
2012-09-25,16,False
2012-09-26,17,False
2012-09-27,18,False
2012-09-28,8,False
2012-09-29,15,False
2012-09-30,9,False
2012-10-01,16,False
2012-10-02,13,False
2012-10-03,17,False
2012-10-04,68,False
2012-10-05,36,False
2012-10-06,18,False
2012-10-07,20,False
2012-10-08,19,False
2012-10-09,21,False
2012-10-10,17,False
2012-10-11,17,False
2012-10-12,28,False
2012-10-13,20,False
2012-10-14,19,False
2012-10-15,16,False
2012-10-16,18,False
2012-10-17,70,False
2012-10-18,39,False
2012-10-19,37,False
2012-10-20,25,False
2012-10-21,17,False
2012-10-22,26,False
2012-10-23,57,False
2012-10-24,34,False
2012-10-25,35,False
2012-10-26,27,False
2012-10-27,28,False
2012-10-28,24,False
2012-10-29,32,False
2012-10-30,31,False
2012-10-31,32,False
2012-11-01,38,False
2012-11-02,42,False
2012-11-03,33,False
2012-11-04,43,False
2012-11-05,59,False
2012-11-06,100,False
