date,hillary
2016-08-07,13
2016-08-08,15
2016-08-09,17
2016-08-10,19
2016-08-11,17
2016-08-12,15
2016-08-13,16
2016-08-14,8
2016-08-15,7
2016-08-16,13
2016-08-17,8
2016-08-18,10
2016-08-19,11
2016-08-20,7
2016-08-21,7
2016-08-22,14
2016-08-23,17
2016-08-24,15
2016-08-25,14
2016-08-26,16
2016-08-27,9
2016-08-28,8
2016-08-29,10
2016-08-30,9
2016-08-31,10
2016-09-01,14
2016-09-02,8
2016-09-03,10
2016-09-04,9
2016-09-05,8
2016-09-06,9
2016-09-07,13
2016-09-08,14
2016-09-09,9
2016-09-10,13
2016-09-11,50
2016-09-12,63
2016-09-13,51
2016-09-14,31
2016-09-15,26
2016-09-16,20
2016-09-17,16
2016-09-18,14
2016-09-19,13
2016-09-20,18
2016-09-21,14
2016-09-22,13
2016-09-23,21
2016-09-24,16
2016-09-25,16
2016-09-26,20
2016-09-27,85
2016-09-28,34
2016-09-29,23
2016-09-30,18
2016-10-01,21
2016-10-02,15
2016-10-03,19
2016-10-04,19
2016-10-05,21
2016-10-06,18
2016-10-07,15
2016-10-08,25
2016-10-09,31
2016-10-10,68
2016-10-11,38
2016-10-12,46
2016-10-13,32
2016-10-14,26
2016-10-15,22
2016-10-16,24
2016-10-17,24
2016-10-18,19
2016-10-19,26
2016-10-20,65
2016-10-21,34
2016-10-22,21
2016-10-23,22
2016-10-24,21
2016-10-25,20
2016-10-26,23
2016-10-27,27
2016-10-28,44
2016-10-29,57
2016-10-30,38
2016-10-31,37
2016-11-01,39
2016-11-02,40
2016-11-03,45
2016-11-04,46
2016-11-05,44
2016-11-06,57
2016-11-07,57
2016-11-08,100
