date,hillary
2016-08-07,15
2016-08-08,18
2016-08-09,20
2016-08-10,15
2016-08-11,15
2016-08-12,15
2016-08-13,13
2016-08-14,11
2016-08-15,9
2016-08-16,12
2016-08-17,12
2016-08-18,9
2016-08-19,7
2016-08-20,9
2016-08-21,13
2016-08-22,16
2016-08-23,14
2016-08-24,14
2016-08-25,14
2016-08-26,14
2016-08-27,12
2016-08-28,12
2016-08-29,9
2016-08-30,11
2016-08-31,10
2016-09-01,9
2016-09-02,12
2016-09-03,10
2016-09-04,10
2016-09-05,14
2016-09-06,18
2016-09-07,14
2016-09-08,19
2016-09-09,13
2016-09-10,14
2016-09-11,56
2016-09-12,61
2016-09-13,45
2016-09-14,30
2016-09-15,22
2016-09-16,19
2016-09-17,17
2016-09-18,13
2016-09-19,13
2016-09-20,16
2016-09-21,19
2016-09-22,19
2016-09-23,21
2016-09-24,17
2016-09-25,16
2016-09-26,21
2016-09-27,90
2016-09-28,35
2016-09-29,28
2016-09-30,26
2016-10-01,23
2016-10-02,20
2016-10-03,18
2016-10-04,17
2016-10-05,15
2016-10-06,14
2016-10-07,15
2016-10-08,22
2016-10-09,26
2016-10-10,66
2016-10-11,40
2016-10-12,30
2016-10-13,28
2016-10-14,28
2016-10-15,24
2016-10-16,25
2016-10-17,20
2016-10-18,22
2016-10-19,30
2016-10-20,60
2016-10-21,36
2016-10-22,25
2016-10-23,26
2016-10-24,23
2016-10-25,32
2016-10-26,37
2016-10-27,30
2016-10-28,51
2016-10-29,56
2016-10-30,47
2016-10-31,42
2016-11-01,45
2016-11-02,48
2016-11-03,49
2016-11-04,45
2016-11-05,49
2016-11-06,59
2016-11-07,61
2016-11-08,100
