date,hillary
2016-08-07,12
2016-08-08,14
2016-08-09,19
2016-08-10,16
2016-08-11,14
2016-08-12,16
2016-08-13,16
2016-08-14,9
2016-08-15,8
2016-08-16,9
2016-08-17,10
2016-08-18,14
2016-08-19,13
2016-08-20,14
2016-08-21,11
2016-08-22,16
2016-08-23,15
2016-08-24,12
2016-08-25,11
2016-08-26,12
2016-08-27,10
2016-08-28,13
2016-08-29,10
2016-08-30,9
2016-08-31,9
2016-09-01,10
2016-09-02,12
2016-09-03,8
2016-09-04,13
2016-09-05,11
2016-09-06,14
2016-09-07,13
2016-09-08,20
2016-09-09,14
2016-09-10,12
2016-09-11,63
2016-09-12,60
2016-09-13,42
2016-09-14,30
2016-09-15,35
2016-09-16,20
2016-09-17,20
2016-09-18,13
2016-09-19,12
2016-09-20,17
2016-09-21,18
2016-09-22,15
2016-09-23,21
2016-09-24,22
2016-09-25,23
2016-09-26,22
2016-09-27,93
2016-09-28,38
2016-09-29,31
2016-09-30,22
2016-10-01,18
2016-10-02,21
2016-10-03,19
2016-10-04,16
2016-10-05,20
2016-10-06,15
2016-10-07,14
2016-10-08,27
2016-10-09,22
2016-10-10,63
2016-10-11,34
2016-10-12,31
2016-10-13,28
2016-10-14,24
2016-10-15,21
2016-10-16,21
2016-10-17,22
2016-10-18,29
2016-10-19,23
2016-10-20,59
2016-10-21,37
2016-10-22,28
2016-10-23,26
2016-10-24,21
2016-10-25,23
2016-10-26,30
2016-10-27,31
2016-10-28,45
2016-10-29,57
2016-10-30,40
2016-10-31,40
2016-11-01,41
2016-11-02,47
2016-11-03,43
2016-11-04,45
2016-11-05,56
2016-11-06,56
2016-11-07,70
2016-11-08,100
