date,hillary
2016-08-07,10
2016-08-08,16
2016-08-09,23
2016-08-10,24
2016-08-11,12
2016-08-12,20
2016-08-13,15
2016-08-14,8
2016-08-15,15
2016-08-16,13
2016-08-17,9
2016-08-18,7
2016-08-19,14
2016-08-20,8
2016-08-21,14
2016-08-22,22
2016-08-23,9
2016-08-24,12
2016-08-25,21
2016-08-26,16
2016-08-27,4
2016-08-28,16
2016-08-29,9
2016-08-30,6
2016-08-31,14
2016-09-01,21
2016-09-02,21
2016-09-03,13
2016-09-04,7
2016-09-05,17
2016-09-06,23
2016-09-07,9
2016-09-08,29
2016-09-09,21
2016-09-10,28
2016-09-11,55
2016-09-12,80
2016-09-13,55
2016-09-14,25
2016-09-15,28
2016-09-16,26
2016-09-17,19
2016-09-18,19
2016-09-19,20
2016-09-20,16
2016-09-21,23
2016-09-22,36
2016-09-23,22
2016-09-24,22
2016-09-25,12
2016-09-26,24
2016-09-27,100
2016-09-28,32
2016-09-29,39
2016-09-30,37
2016-10-01,12
2016-10-02,21
2016-10-03,20
2016-10-04,26
2016-10-05,28
2016-10-06,15
2016-10-07,24
2016-10-08,27
2016-10-09,27
2016-10-10,100
2016-10-11,46
2016-10-12,32
2016-10-13,38
2016-10-14,35
2016-10-15,30
2016-10-16,39
2016-10-17,36
2016-10-18,22
2016-10-19,32
2016-10-20,62
2016-10-21,39
2016-10-22,19
2016-10-23,26
2016-10-24,28
2016-10-25,19
2016-10-26,36
2016-10-27,21
2016-10-28,43
2016-10-29,63
2016-10-30,47
2016-10-31,37
2016-11-01,41
2016-11-02,67
2016-11-03,46
2016-11-04,61
2016-11-05,44
2016-11-06,70
2016-11-07,72
2016-11-08,91
