date,hillary
2016-08-07,9
2016-08-08,13
2016-08-09,16
2016-08-10,13
2016-08-11,15
2016-08-12,10
2016-08-13,8
2016-08-14,12
2016-08-15,8
2016-08-16,8
2016-08-17,13
2016-08-18,11
2016-08-19,10
2016-08-20,14
2016-08-21,8
2016-08-22,13
2016-08-23,14
2016-08-24,13
2016-08-25,15
2016-08-26,14
2016-08-27,7
2016-08-28,10
2016-08-29,9
2016-08-30,11
2016-08-31,13
2016-09-01,10
2016-09-02,10
2016-09-03,8
2016-09-04,8
2016-09-05,11
2016-09-06,15
2016-09-07,16
2016-09-08,14
2016-09-09,14
2016-09-10,10
2016-09-11,41
2016-09-12,57
2016-09-13,39
2016-09-14,25
2016-09-15,23
2016-09-16,21
2016-09-17,13
2016-09-18,14
2016-09-19,14
2016-09-20,13
2016-09-21,17
2016-09-22,20
2016-09-23,16
2016-09-24,13
2016-09-25,14
2016-09-26,21
2016-09-27,84
2016-09-28,32
2016-09-29,22
2016-09-30,21
2016-10-01,27
2016-10-02,21
2016-10-03,24
2016-10-04,23
2016-10-05,24
2016-10-06,15
2016-10-07,15
2016-10-08,21
2016-10-09,24
2016-10-10,64
2016-10-11,35
2016-10-12,22
2016-10-13,28
2016-10-14,32
2016-10-15,25
2016-10-16,22
2016-10-17,23
2016-10-18,27
2016-10-19,26
2016-10-20,54
2016-10-21,31
2016-10-22,26
2016-10-23,23
2016-10-24,21
2016-10-25,25
2016-10-26,25
2016-10-27,24
2016-10-28,43
2016-10-29,43
2016-10-30,38
2016-10-31,42
2016-11-01,35
2016-11-02,41
2016-11-03,39
2016-11-04,41
2016-11-05,40
2016-11-06,45
2016-11-07,51
2016-11-08,100
