date,hillary
2016-08-07,13
2016-08-08,15
2016-08-09,14
2016-08-10,17
2016-08-11,15
2016-08-12,14
2016-08-13,11
2016-08-14,7
2016-08-15,9
2016-08-16,11
2016-08-17,10
2016-08-18,11
2016-08-19,7
2016-08-20,9
2016-08-21,12
2016-08-22,17
2016-08-23,14
2016-08-24,10
2016-08-25,10
2016-08-26,10
2016-08-27,8
2016-08-28,9
2016-08-29,10
2016-08-30,7
2016-08-31,9
2016-09-01,10
2016-09-02,11
2016-09-03,11
2016-09-04,9
2016-09-05,10
2016-09-06,14
2016-09-07,14
2016-09-08,20
2016-09-09,12
2016-09-10,13
2016-09-11,50
2016-09-12,60
2016-09-13,38
2016-09-14,29
2016-09-15,20
2016-09-16,21
2016-09-17,17
2016-09-18,14
2016-09-19,14
2016-09-20,15
2016-09-21,15
2016-09-22,18
2016-09-23,18
2016-09-24,16
2016-09-25,16
2016-09-26,26
2016-09-27,100
2016-09-28,37
2016-09-29,24
2016-09-30,23
2016-10-01,21
2016-10-02,17
2016-10-03,17
2016-10-04,18
2016-10-05,19
2016-10-06,18
2016-10-07,17
2016-10-08,22
2016-10-09,22
2016-10-10,57
2016-10-11,30
2016-10-12,29
2016-10-13,28
2016-10-14,21
2016-10-15,17
2016-10-16,22
2016-10-17,21
2016-10-18,24
2016-10-19,24
2016-10-20,54
2016-10-21,31
2016-10-22,21
2016-10-23,27
2016-10-24,21
2016-10-25,18
2016-10-26,24
2016-10-27,22
2016-10-28,34
2016-10-29,47
2016-10-30,35
2016-10-31,35
2016-11-01,40
2016-11-02,40
2016-11-03,39
2016-11-04,36
2016-11-05,40
2016-11-06,40
2016-11-07,51
2016-11-08,97
