date,vote hillary,isPartial
2016-08-07,3,False
2016-08-08,2,False
2016-08-09,2,False
2016-08-10,2,False
2016-08-11,2,False
2016-08-12,1,False
2016-08-13,2,False
2016-08-14,2,False
2016-08-15,1,False
2016-08-16,1,False
2016-08-17,2,False
2016-08-18,2,False
2016-08-19,2,False
2016-08-20,1,False
2016-08-21,2,False
2016-08-22,2,False
2016-08-23,1,False
2016-08-24,2,False
2016-08-25,1,False
2016-08-26,2,False
2016-08-27,1,False
2016-08-28,1,False
2016-08-29,1,False
2016-08-30,1,False
2016-08-31,2,False
2016-09-01,1,False
2016-09-02,1,False
2016-09-03,1,False
2016-09-04,1,False
2016-09-05,1,False
2016-09-06,1,False
2016-09-07,2,False
2016-09-08,3,False
2016-09-09,2,False
2016-09-10,1,False
2016-09-11,2,False
2016-09-12,2,False
2016-09-13,1,False
2016-09-14,2,False
2016-09-15,1,False
2016-09-16,2,False
2016-09-17,2,False
2016-09-18,2,False
2016-09-19,2,False
2016-09-20,7,False
2016-09-21,4,False
2016-09-22,3,False
2016-09-23,4,False
2016-09-24,3,False
2016-09-25,2,False
2016-09-26,5,False
2016-09-27,15,False
2016-09-28,7,False
2016-09-29,5,False
2016-09-30,4,False
2016-10-01,3,False
2016-10-02,2,False
2016-10-03,4,False
2016-10-04,4,False
2016-10-05,3,False
2016-10-06,3,False
2016-10-07,3,False
2016-10-08,4,False
2016-10-09,6,False
2016-10-10,14,False
2016-10-11,9,False
2016-10-12,8,False
2016-10-13,7,False
2016-10-14,6,False
2016-10-15,6,False
2016-10-16,5,False
2016-10-17,4,False
2016-10-18,6,False
2016-10-19,6,False
2016-10-20,15,False
2016-10-21,8,False
2016-10-22,7,False
2016-10-23,8,False
2016-10-24,7,False
2016-10-25,11,False
2016-10-26,12,False
2016-10-27,10,False
2016-10-28,10,False
2016-10-29,7,False
2016-10-30,7,False
2016-10-31,9,False
2016-11-01,10,False
2016-11-02,16,False
2016-11-03,16,False
2016-11-04,15,False
2016-11-05,16,False
2016-11-06,25,False
2016-11-07,40,False
2016-11-08,100,False
