date,trump
2016-08-07,14
2016-08-08,20
2016-08-09,18
2016-08-10,30
2016-08-11,27
2016-08-12,19
2016-08-13,14
2016-08-14,15
2016-08-15,14
2016-08-16,15
2016-08-17,17
2016-08-18,17
2016-08-19,23
2016-08-20,20
2016-08-21,12
2016-08-22,15
2016-08-23,15
2016-08-24,14
2016-08-25,14
2016-08-26,16
2016-08-27,11
2016-08-28,16
2016-08-29,11
2016-08-30,11
2016-08-31,16
2016-09-01,23
2016-09-02,14
2016-09-03,13
2016-09-04,14
2016-09-05,11
2016-09-06,12
2016-09-07,14
2016-09-08,18
2016-09-09,15
2016-09-10,14
2016-09-11,17
2016-09-12,15
2016-09-13,11
2016-09-14,18
2016-09-15,18
2016-09-16,17
2016-09-17,19
2016-09-18,15
2016-09-19,15
2016-09-20,15
2016-09-21,14
2016-09-22,14
2016-09-23,14
2016-09-24,12
2016-09-25,13
2016-09-26,21
2016-09-27,75
2016-09-28,30
2016-09-29,29
2016-09-30,28
2016-10-01,24
2016-10-02,29
2016-10-03,37
2016-10-04,29
2016-10-05,32
2016-10-06,22
2016-10-07,30
2016-10-08,100
2016-10-09,80
2016-10-10,99
2016-10-11,60
2016-10-12,46
2016-10-13,49
2016-10-14,44
2016-10-15,47
2016-10-16,44
2016-10-17,35
2016-10-18,41
2016-10-19,37
2016-10-20,75
2016-10-21,41
2016-10-22,31
2016-10-23,37
2016-10-24,31
2016-10-25,30
2016-10-26,31
2016-10-27,35
2016-10-28,32
2016-10-29,41
2016-10-30,35
2016-10-31,28
2016-11-01,36
2016-11-02,36
2016-11-03,36
2016-11-04,39
2016-11-05,40
2016-11-06,64
2016-11-07,52
2016-11-08,82
