date,trump
2016-08-07,20
2016-08-08,25
2016-08-09,28
2016-08-10,30
2016-08-11,25
2016-08-12,19
2016-08-13,19
2016-08-14,15
2016-08-15,16
2016-08-16,15
2016-08-17,16
2016-08-18,19
2016-08-19,23
2016-08-20,21
2016-08-21,16
2016-08-22,15
2016-08-23,18
2016-08-24,16
2016-08-25,17
2016-08-26,14
2016-08-27,15
2016-08-28,14
2016-08-29,11
2016-08-30,12
2016-08-31,17
2016-09-01,20
2016-09-02,15
2016-09-03,14
2016-09-04,14
2016-09-05,16
2016-09-06,16
2016-09-07,18
2016-09-08,19
2016-09-09,15
2016-09-10,14
2016-09-11,16
2016-09-12,20
2016-09-13,17
2016-09-14,19
2016-09-15,20
2016-09-16,20
2016-09-17,18
2016-09-18,14
2016-09-19,15
2016-09-20,21
2016-09-21,19
2016-09-22,15
2016-09-23,17
2016-09-24,16
2016-09-25,14
2016-09-26,22
2016-09-27,71
2016-09-28,31
2016-09-29,24
2016-09-30,26
2016-10-01,22
2016-10-02,27
2016-10-03,28
2016-10-04,22
2016-10-05,26
2016-10-06,24
2016-10-07,25
2016-10-08,86
2016-10-09,71
2016-10-10,90
2016-10-11,48
2016-10-12,46
2016-10-13,45
2016-10-14,46
2016-10-15,44
2016-10-16,39
2016-10-17,35
2016-10-18,35
2016-10-19,31
2016-10-20,74
2016-10-21,46
2016-10-22,38
2016-10-23,35
2016-10-24,28
2016-10-25,34
2016-10-26,38
2016-10-27,31
2016-10-28,31
2016-10-29,29
2016-10-30,33
2016-10-31,29
2016-11-01,36
2016-11-02,39
2016-11-03,43
2016-11-04,41
2016-11-05,49
2016-11-06,68
2016-11-07,64
2016-11-08,100
