date,trump
2016-08-07,24
2016-08-08,19
2016-08-09,19
2016-08-10,29
2016-08-11,24
2016-08-12,16
2016-08-13,20
2016-08-14,12
2016-08-15,22
2016-08-16,11
2016-08-17,19
2016-08-18,15
2016-08-19,20
2016-08-20,14
2016-08-21,17
2016-08-22,13
2016-08-23,15
2016-08-24,14
2016-08-25,18
2016-08-26,8
2016-08-27,12
2016-08-28,11
2016-08-29,14
2016-08-30,14
2016-08-31,13
2016-09-01,24
2016-09-02,14
2016-09-03,14
2016-09-04,10
2016-09-05,13
2016-09-06,9
2016-09-07,12
2016-09-08,11
2016-09-09,14
2016-09-10,12
2016-09-11,7
2016-09-12,12
2016-09-13,9
2016-09-14,14
2016-09-15,14
2016-09-16,20
2016-09-17,16
2016-09-18,14
2016-09-19,14
2016-09-20,19
2016-09-21,14
2016-09-22,12
2016-09-23,12
2016-09-24,20
2016-09-25,9
2016-09-26,23
2016-09-27,69
2016-09-28,34
2016-09-29,26
2016-09-30,23
2016-10-01,31
2016-10-02,27
2016-10-03,23
2016-10-04,15
2016-10-05,21
2016-10-06,28
2016-10-07,19
2016-10-08,89
2016-10-09,82
2016-10-10,90
2016-10-11,47
2016-10-12,49
2016-10-13,36
2016-10-14,33
2016-10-15,56
2016-10-16,46
2016-10-17,31
2016-10-18,28
2016-10-19,33
2016-10-20,61
2016-10-21,32
2016-10-22,22
2016-10-23,22
2016-10-24,25
2016-10-25,27
2016-10-26,23
2016-10-27,35
2016-10-28,32
2016-10-29,22
2016-10-30,32
2016-10-31,27
2016-11-01,31
2016-11-02,38
2016-11-03,38
2016-11-04,40
2016-11-05,29
2016-11-06,62
2016-11-07,59
2016-11-08,100
