date,trump
2016-08-07,18
2016-08-08,19
2016-08-09,22
2016-08-10,30
2016-08-11,23
2016-08-12,17
2016-08-13,16
2016-08-14,17
2016-08-15,22
2016-08-16,17
2016-08-17,17
2016-08-18,19
2016-08-19,26
2016-08-20,26
2016-08-21,17
2016-08-22,12
2016-08-23,16
2016-08-24,12
2016-08-25,18
2016-08-26,18
2016-08-27,19
2016-08-28,15
2016-08-29,14
2016-08-30,12
2016-08-31,25
2016-09-01,22
2016-09-02,14
2016-09-03,17
2016-09-04,19
2016-09-05,12
2016-09-06,17
2016-09-07,14
2016-09-08,18
2016-09-09,13
2016-09-10,14
2016-09-11,12
2016-09-12,12
2016-09-13,18
2016-09-14,18
2016-09-15,19
2016-09-16,20
2016-09-17,21
2016-09-18,16
2016-09-19,17
2016-09-20,20
2016-09-21,22
2016-09-22,19
2016-09-23,17
2016-09-24,18
2016-09-25,20
2016-09-26,22
2016-09-27,72
2016-09-28,35
2016-09-29,25
2016-09-30,23
2016-10-01,25
2016-10-02,28
2016-10-03,26
2016-10-04,27
2016-10-05,38
2016-10-06,33
2016-10-07,25
2016-10-08,94
2016-10-09,69
2016-10-10,100
2016-10-11,54
2016-10-12,41
2016-10-13,52
2016-10-14,45
2016-10-15,41
2016-10-16,38
2016-10-17,32
2016-10-18,42
2016-10-19,49
2016-10-20,86
2016-10-21,38
2016-10-22,33
2016-10-23,40
2016-10-24,30
2016-10-25,38
2016-10-26,33
2016-10-27,40
2016-10-28,43
2016-10-29,33
2016-10-30,40
2016-10-31,29
2016-11-01,31
2016-11-02,37
2016-11-03,36
2016-11-04,38
2016-11-05,42
2016-11-06,86
2016-11-07,58
2016-11-08,93
