date,trump
2016-08-07,16
2016-08-08,17
2016-08-09,22
2016-08-10,29
2016-08-11,26
2016-08-12,20
2016-08-13,15
2016-08-14,18
2016-08-15,16
2016-08-16,13
2016-08-17,16
2016-08-18,16
2016-08-19,19
2016-08-20,20
2016-08-21,16
2016-08-22,15
2016-08-23,16
2016-08-24,14
2016-08-25,16
2016-08-26,14
2016-08-27,16
2016-08-28,13
2016-08-29,13
2016-08-30,12
2016-08-31,16
2016-09-01,18
2016-09-02,13
2016-09-03,14
2016-09-04,13
2016-09-05,13
2016-09-06,13
2016-09-07,17
2016-09-08,18
2016-09-09,14
2016-09-10,14
2016-09-11,14
2016-09-12,14
2016-09-13,17
2016-09-14,19
2016-09-15,19
2016-09-16,19
2016-09-17,16
2016-09-18,14
2016-09-19,17
2016-09-20,16
2016-09-21,17
2016-09-22,19
2016-09-23,16
2016-09-24,16
2016-09-25,15
2016-09-26,21
2016-09-27,68
2016-09-28,29
2016-09-29,25
2016-09-30,28
2016-10-01,29
2016-10-02,33
2016-10-03,29
2016-10-04,23
2016-10-05,29
2016-10-06,23
2016-10-07,30
2016-10-08,89
2016-10-09,74
2016-10-10,93
2016-10-11,53
2016-10-12,44
2016-10-13,46
2016-10-14,44
2016-10-15,39
2016-10-16,36
2016-10-17,29
2016-10-18,33
2016-10-19,30
2016-10-20,73
2016-10-21,45
2016-10-22,38
2016-10-23,32
2016-10-24,28
2016-10-25,28
2016-10-26,28
2016-10-27,32
2016-10-28,29
2016-10-29,27
2016-10-30,29
2016-10-31,29
2016-11-01,34
2016-11-02,40
2016-11-03,39
2016-11-04,42
2016-11-05,48
2016-11-06,66
2016-11-07,59
2016-11-08,100
