date,trump
2016-08-07,17
2016-08-08,21
2016-08-09,25
2016-08-10,32
2016-08-11,31
2016-08-12,22
2016-08-13,21
2016-08-14,21
2016-08-15,17
2016-08-16,16
2016-08-17,19
2016-08-18,20
2016-08-19,22
2016-08-20,25
2016-08-21,20
2016-08-22,16
2016-08-23,22
2016-08-24,15
2016-08-25,15
2016-08-26,21
2016-08-27,13
2016-08-28,15
2016-08-29,15
2016-08-30,10
2016-08-31,18
2016-09-01,25
2016-09-02,17
2016-09-03,16
2016-09-04,17
2016-09-05,13
2016-09-06,20
2016-09-07,14
2016-09-08,19
2016-09-09,16
2016-09-10,15
2016-09-11,17
2016-09-12,17
2016-09-13,16
2016-09-14,22
2016-09-15,21
2016-09-16,22
2016-09-17,18
2016-09-18,17
2016-09-19,16
2016-09-20,21
2016-09-21,18
2016-09-22,23
2016-09-23,18
2016-09-24,17
2016-09-25,18
2016-09-26,21
2016-09-27,86
2016-09-28,34
2016-09-29,25
2016-09-30,26
2016-10-01,29
2016-10-02,37
2016-10-03,29
2016-10-04,24
2016-10-05,28
2016-10-06,27
2016-10-07,34
2016-10-08,100
2016-10-09,81
2016-10-10,96
2016-10-11,64
2016-10-12,53
2016-10-13,52
2016-10-14,40
2016-10-15,40
2016-10-16,39
2016-10-17,37
2016-10-18,38
2016-10-19,37
2016-10-20,85
2016-10-21,50
2016-10-22,40
2016-10-23,37
2016-10-24,31
2016-10-25,28
2016-10-26,38
2016-10-27,34
2016-10-28,34
2016-10-29,31
2016-10-30,35
2016-10-31,28
2016-11-01,34
2016-11-02,35
2016-11-03,39
2016-11-04,37
2016-11-05,37
2016-11-06,72
2016-11-07,60
2016-11-08,91
