date,vote trump,isPartial
2016-08-07,4,False
2016-08-08,3,False
2016-08-09,6,False
2016-08-10,0,False
2016-08-11,3,False
2016-08-12,3,False
2016-08-13,4,False
2016-08-14,11,False
2016-08-15,3,False
2016-08-16,0,False
2016-08-17,0,False
2016-08-18,5,False
2016-08-19,7,False
2016-08-20,4,False
2016-08-21,4,False
2016-08-22,0,False
2016-08-23,0,False
2016-08-24,0,False
2016-08-25,0,False
2016-08-26,3,False
2016-08-27,3,False
2016-08-28,5,False
2016-08-29,9,False
2016-08-30,3,False
2016-08-31,3,False
2016-09-01,3,False
2016-09-02,3,False
2016-09-03,0,False
2016-09-04,0,False
2016-09-05,0,False
2016-09-06,6,False
2016-09-07,0,False
2016-09-08,3,False
2016-09-09,3,False
2016-09-10,0,False
2016-09-11,6,False
2016-09-12,4,False
2016-09-13,0,False
2016-09-14,0,False
2016-09-15,11,False
2016-09-16,6,False
2016-09-17,10,False
2016-09-18,9,False
2016-09-19,3,False
2016-09-20,5,False
2016-09-21,8,False
2016-09-22,6,False
2016-09-23,0,False
2016-09-24,7,False
2016-09-25,16,False
2016-09-26,5,False
2016-09-27,11,False
2016-09-28,9,False
2016-09-29,7,False
2016-09-30,8,False
2016-10-01,3,False
2016-10-02,5,False
2016-10-03,3,False
2016-10-04,5,False
2016-10-05,7,False
2016-10-06,4,False
2016-10-07,7,False
2016-10-08,6,False
2016-10-09,8,False
2016-10-10,14,False
2016-10-11,18,False
2016-10-12,19,False
2016-10-13,20,False
2016-10-14,13,False
2016-10-15,3,False
2016-10-16,3,False
2016-10-17,3,False
2016-10-18,11,False
2016-10-19,5,False
2016-10-20,15,False
2016-10-21,8,False
2016-10-22,7,False
2016-10-23,8,False
2016-10-24,5,False
2016-10-25,7,False
2016-10-26,20,False
2016-10-27,8,False
2016-10-28,9,False
2016-10-29,7,False
2016-10-30,6,False
2016-10-31,7,False
2016-11-01,5,False
2016-11-02,23,False
2016-11-03,13,False
2016-11-04,14,False
2016-11-05,13,False
2016-11-06,27,False
2016-11-07,42,False
2016-11-08,100,False
