date,trump
2016-08-07,21
2016-08-08,20
2016-08-09,22
2016-08-10,32
2016-08-11,27
2016-08-12,20
2016-08-13,18
2016-08-14,18
2016-08-15,17
2016-08-16,16
2016-08-17,17
2016-08-18,18
2016-08-19,25
2016-08-20,21
2016-08-21,18
2016-08-22,16
2016-08-23,17
2016-08-24,16
2016-08-25,17
2016-08-26,16
2016-08-27,15
2016-08-28,15
2016-08-29,14
2016-08-30,14
2016-08-31,19
2016-09-01,24
2016-09-02,16
2016-09-03,14
2016-09-04,15
2016-09-05,14
2016-09-06,15
2016-09-07,16
2016-09-08,19
2016-09-09,15
2016-09-10,15
2016-09-11,15
2016-09-12,16
2016-09-13,15
2016-09-14,20
2016-09-15,19
2016-09-16,21
2016-09-17,18
2016-09-18,16
2016-09-19,15
2016-09-20,17
2016-09-21,17
2016-09-22,17
2016-09-23,17
2016-09-24,16
2016-09-25,16
2016-09-26,22
2016-09-27,79
2016-09-28,33
2016-09-29,27
2016-09-30,29
2016-10-01,27
2016-10-02,32
2016-10-03,30
2016-10-04,25
2016-10-05,29
2016-10-06,25
2016-10-07,28
2016-10-08,96
2016-10-09,84
2016-10-10,100
2016-10-11,59
2016-10-12,47
2016-10-13,51
2016-10-14,48
2016-10-15,42
2016-10-16,41
2016-10-17,36
2016-10-18,38
2016-10-19,34
2016-10-20,79
2016-10-21,42
2016-10-22,35
2016-10-23,35
2016-10-24,31
2016-10-25,32
2016-10-26,33
2016-10-27,34
2016-10-28,32
2016-10-29,32
2016-10-30,30
2016-10-31,30
2016-11-01,35
2016-11-02,38
2016-11-03,38
2016-11-04,41
2016-11-05,43
2016-11-06,65
2016-11-07,57
2016-11-08,97
