date,biden
2020-04-11,40
2020-04-12,30
2020-04-13,32
2020-04-14,45
2020-04-15,56
2020-04-16,36
2020-04-17,34
2020-04-18,31
2020-04-19,37
2020-04-20,22
2020-04-21,33
2020-04-22,20
2020-04-23,16
2020-04-24,29
2020-04-25,42
2020-04-26,39
2020-04-27,34
2020-04-28,41
2020-04-29,42
2020-04-30,34
2020-05-01,71
2020-05-02,53
2020-05-03,40
2020-05-04,31
2020-05-05,28
2020-05-06,26
2020-05-07,29
2020-05-08,36
2020-05-09,22
2020-05-10,25
2020-05-11,19
2020-05-12,26
2020-05-13,25
2020-05-14,20
2020-05-15,28
2020-05-16,21
2020-05-17,23
2020-05-18,20
2020-05-19,21
2020-05-20,35
2020-05-21,19
2020-05-22,82
2020-05-23,100
2020-05-24,46
2020-05-25,38
2020-05-26,33
2020-05-27,24
2020-05-28,39
2020-05-29,34
2020-05-30,34
2020-05-31,25
2020-06-01,29
2020-06-02,64
2020-06-03,50
2020-06-04,37
2020-06-05,27
2020-06-06,39
2020-06-07,34
2020-06-08,34
2020-06-09,29
2020-06-10,29
2020-06-11,32
2020-06-12,35
2020-06-13,33
2020-06-14,36
2020-06-15,30
2020-06-16,35
2020-06-17,26
2020-06-18,34
2020-06-19,41
2020-06-20,38
2020-06-21,65
2020-06-22,39
2020-06-23,50
2020-06-24,45
2020-06-25,45
2020-06-26,61
2020-06-27,53
2020-06-28,53
2020-06-29,46
2020-06-30,50
2020-07-01,34
2020-07-02,39
2020-07-03,40
2020-07-04,48
2020-07-05,39
2020-07-06,38
2020-07-07,27
2020-07-08,45
2020-07-09,46
2020-07-10,58
2020-07-11,33
