date,biden
2020-04-11,45
2020-04-12,46
2020-04-13,65
2020-04-14,68
2020-04-15,32
2020-04-16,81
2020-04-17,23
2020-04-18,43
2020-04-19,47
2020-04-20,23
2020-04-21,44
2020-04-22,28
2020-04-23,40
2020-04-24,35
2020-04-25,41
2020-04-26,63
2020-04-27,47
2020-04-28,59
2020-04-29,68
2020-04-30,42
2020-05-01,75
2020-05-02,33
2020-05-03,54
2020-05-04,27
2020-05-05,41
2020-05-06,28
2020-05-07,34
2020-05-08,35
2020-05-09,18
2020-05-10,52
2020-05-11,28
2020-05-12,40
2020-05-13,12
2020-05-14,30
2020-05-15,35
2020-05-16,40
2020-05-17,34
2020-05-18,35
2020-05-19,23
2020-05-20,18
2020-05-21,36
2020-05-22,95
2020-05-23,100
2020-05-24,71
2020-05-25,70
2020-05-26,87
2020-05-27,23
2020-05-28,35
2020-05-29,64
2020-05-30,14
2020-05-31,27
2020-06-01,40
2020-06-02,71
2020-06-03,28
2020-06-04,51
2020-06-05,40
2020-06-06,37
2020-06-07,47
2020-06-08,40
2020-06-09,62
2020-06-10,55
2020-06-11,51
2020-06-12,45
2020-06-13,35
2020-06-14,56
2020-06-15,43
2020-06-16,24
2020-06-17,51
2020-06-18,31
2020-06-19,39
2020-06-20,50
2020-06-21,77
2020-06-22,48
2020-06-23,67
2020-06-24,36
2020-06-25,44
2020-06-26,82
2020-06-27,41
2020-06-28,59
2020-06-29,56
2020-06-30,52
2020-07-01,24
2020-07-02,37
2020-07-03,31
2020-07-04,21
2020-07-05,72
2020-07-06,78
2020-07-07,31
2020-07-08,53
2020-07-09,44
2020-07-10,31
2020-07-11,51
