date,biden
2020-04-11,36
2020-04-12,25
2020-04-13,37
2020-04-14,56
2020-04-15,59
2020-04-16,32
2020-04-17,45
2020-04-18,28
2020-04-19,30
2020-04-20,39
2020-04-21,26
2020-04-22,30
2020-04-23,25
2020-04-24,19
2020-04-25,40
2020-04-26,33
2020-04-27,46
2020-04-28,53
2020-04-29,49
2020-04-30,55
2020-05-01,78
2020-05-02,63
2020-05-03,41
2020-05-04,40
2020-05-05,35
2020-05-06,32
2020-05-07,18
2020-05-08,32
2020-05-09,25
2020-05-10,17
2020-05-11,26
2020-05-12,24
2020-05-13,24
2020-05-14,31
2020-05-15,28
2020-05-16,27
2020-05-17,20
2020-05-18,18
2020-05-19,25
2020-05-20,34
2020-05-21,27
2020-05-22,100
2020-05-23,97
2020-05-24,60
2020-05-25,42
2020-05-26,45
2020-05-27,32
2020-05-28,41
2020-05-29,39
2020-05-30,28
2020-05-31,25
2020-06-01,32
2020-06-02,66
2020-06-03,53
2020-06-04,34
2020-06-05,42
2020-06-06,54
2020-06-07,45
2020-06-08,43
2020-06-09,24
2020-06-10,24
2020-06-11,37
2020-06-12,39
2020-06-13,45
2020-06-14,27
2020-06-15,35
2020-06-16,22
2020-06-17,38
2020-06-18,28
2020-06-19,52
2020-06-20,55
2020-06-21,58
2020-06-22,30
2020-06-23,56
2020-06-24,46
2020-06-25,43
2020-06-26,48
2020-06-27,39
2020-06-28,41
2020-06-29,36
2020-06-30,40
2020-07-01,44
2020-07-02,42
2020-07-03,25
2020-07-04,37
2020-07-05,26
2020-07-06,26
2020-07-07,32
2020-07-08,30
2020-07-09,47
2020-07-10,56
2020-07-11,52
