date,vote trump,isPartial
2020-04-11,19,False
2020-04-12,19,False
2020-04-13,0,False
2020-04-14,62,False
2020-04-15,30,False
2020-04-16,15,False
2020-04-17,16,False
2020-04-18,0,False
2020-04-19,36,False
2020-04-20,16,False
2020-04-21,16,False
2020-04-22,0,False
2020-04-23,31,False
2020-04-24,15,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,16,False
2020-04-28,16,False
2020-04-29,0,False
2020-04-30,30,False
2020-05-01,0,False
2020-05-02,37,False
2020-05-03,19,False
2020-05-04,0,False
2020-05-05,0,False
2020-05-06,0,False
2020-05-07,32,False
2020-05-08,16,False
2020-05-09,18,False
2020-05-10,0,False
2020-05-11,0,False
2020-05-12,0,False
2020-05-13,0,False
2020-05-14,16,False
2020-05-15,0,False
2020-05-16,0,False
2020-05-17,56,False
2020-05-18,16,False
2020-05-19,0,False
2020-05-20,32,False
2020-05-21,16,False
2020-05-22,66,False
2020-05-23,56,False
2020-05-24,0,False
2020-05-25,52,False
2020-05-26,0,False
2020-05-27,16,False
2020-05-28,17,False
2020-05-29,34,False
2020-05-30,18,False
2020-05-31,38,False
2020-06-01,16,False
2020-06-02,100,False
2020-06-03,0,False
2020-06-04,63,False
2020-06-05,32,False
2020-06-06,36,False
2020-06-07,91,False
2020-06-08,15,False
2020-06-09,48,False
2020-06-10,84,False
2020-06-11,17,False
2020-06-12,17,False
2020-06-13,0,False
2020-06-14,19,False
2020-06-15,84,False
2020-06-16,33,False
2020-06-17,17,False
2020-06-18,0,False
2020-06-19,17,False
2020-06-20,0,False
2020-06-21,20,False
2020-06-22,69,False
2020-06-23,52,False
2020-06-24,86,False
2020-06-25,0,False
2020-06-26,35,False
2020-06-27,58,False
2020-06-28,38,False
2020-06-29,35,False
2020-06-30,18,False
2020-07-01,35,False
2020-07-02,17,False
2020-07-03,37,False
2020-07-04,20,False
2020-07-05,20,False
2020-07-06,34,False
2020-07-07,35,False
2020-07-08,0,False
2020-07-09,36,False
2020-07-10,54,False
2020-07-11,40,False
