date,trump covid,isPartial
2020-05-27,11,False
2020-05-28,46,False
2020-05-29,12,False
2020-05-30,19,False
2020-05-31,25,False
2020-06-01,22,False
2020-06-02,28,False
2020-06-03,11,False
2020-06-04,11,False
2020-06-05,22,False
2020-06-06,25,False
2020-06-07,13,False
2020-06-08,22,False
2020-06-09,17,False
2020-06-10,40,False
2020-06-11,34,False
2020-06-12,29,False
2020-06-13,13,False
2020-06-14,26,False
2020-06-15,40,False
2020-06-16,17,False
2020-06-17,23,False
2020-06-18,29,False
2020-06-19,41,False
2020-06-20,90,False
2020-06-21,92,False
2020-06-22,48,False
2020-06-23,100,False
2020-06-24,94,False
2020-06-25,77,False
2020-06-26,24,False
2020-06-27,26,False
2020-06-28,13,False
2020-06-29,54,False
2020-06-30,18,False
2020-07-01,18,False
2020-07-02,18,False
2020-07-03,38,False
2020-07-04,61,False
2020-07-05,43,False
2020-07-06,49,False
2020-07-07,36,False
2020-07-08,43,False
2020-07-09,62,False
2020-07-10,44,False
2020-07-11,27,False
