date,trump covid,isPartial
2020-05-27,23,False
2020-05-28,12,False
2020-05-29,12,False
2020-05-30,7,False
2020-05-31,27,False
2020-06-01,35,False
2020-06-02,6,False
2020-06-03,22,False
2020-06-04,5,False
2020-06-05,6,False
2020-06-06,19,False
2020-06-07,19,False
2020-06-08,22,False
2020-06-09,28,False
2020-06-10,42,False
2020-06-11,23,False
2020-06-12,49,False
2020-06-13,27,False
2020-06-14,13,False
2020-06-15,30,False
2020-06-16,29,False
2020-06-17,18,False
2020-06-18,24,False
2020-06-19,30,False
2020-06-20,54,False
2020-06-21,97,False
2020-06-22,61,False
2020-06-23,42,False
2020-06-24,24,False
2020-06-25,61,False
2020-06-26,49,False
2020-06-27,55,False
2020-06-28,33,False
2020-06-29,61,False
2020-06-30,37,False
2020-07-01,43,False
2020-07-02,56,False
2020-07-03,39,False
2020-07-04,86,False
2020-07-05,50,False
2020-07-06,67,False
2020-07-07,100,False
2020-07-08,32,False
2020-07-09,88,False
2020-07-10,64,False
2020-07-11,70,False
