date,trump covid,isPartial
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,28,False
2020-06-01,25,False
2020-06-02,25,False
2020-06-03,24,False
2020-06-04,0,False
2020-06-05,100,False
2020-06-06,27,False
2020-06-07,28,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,26,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,31,False
2020-06-14,30,False
2020-06-15,27,False
2020-06-16,27,False
2020-06-17,0,False
2020-06-18,27,False
2020-06-19,27,False
2020-06-20,30,False
2020-06-21,45,False
2020-06-22,0,False
2020-06-23,26,False
2020-06-24,0,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,30,False
2020-06-28,27,False
2020-06-29,0,False
2020-06-30,50,False
2020-07-01,52,False
2020-07-02,26,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,52,False
2020-07-08,25,False
2020-07-09,27,False
2020-07-10,0,False
2020-07-11,0,False
