date,biden health,isPartial
2020-05-27,37,False
2020-05-28,42,False
2020-05-29,74,False
2020-05-30,28,False
2020-05-31,29,False
2020-06-01,37,False
2020-06-02,37,False
2020-06-03,35,False
2020-06-04,65,False
2020-06-05,48,False
2020-06-06,42,False
2020-06-07,65,False
2020-06-08,12,False
2020-06-09,59,False
2020-06-10,43,False
2020-06-11,31,False
2020-06-12,19,False
2020-06-13,15,False
2020-06-14,44,False
2020-06-15,70,False
2020-06-16,56,False
2020-06-17,45,False
2020-06-18,57,False
2020-06-19,26,False
2020-06-20,67,False
2020-06-21,98,False
2020-06-22,84,False
2020-06-23,38,False
2020-06-24,45,False
2020-06-25,77,False
2020-06-26,100,False
2020-06-27,59,False
2020-06-28,79,False
2020-06-29,79,False
2020-06-30,52,False
2020-07-01,66,False
2020-07-02,86,False
2020-07-03,35,False
2020-07-04,40,False
2020-07-05,72,False
2020-07-06,65,False
2020-07-07,39,False
2020-07-08,33,False
2020-07-09,79,False
2020-07-10,68,False
2020-07-11,52,False
