date,trump health,isPartial
2020-05-27,0,False
2020-05-28,18,False
2020-05-29,37,False
2020-05-30,32,False
2020-05-31,0,False
2020-06-01,38,False
2020-06-02,19,False
2020-06-03,0,False
2020-06-04,19,False
2020-06-05,19,False
2020-06-06,0,False
2020-06-07,23,False
2020-06-08,19,False
2020-06-09,0,False
2020-06-10,19,False
2020-06-11,0,False
2020-06-12,20,False
2020-06-13,81,False
2020-06-14,80,False
2020-06-15,100,False
2020-06-16,88,False
2020-06-17,30,False
2020-06-18,40,False
2020-06-19,20,False
2020-06-20,23,False
2020-06-21,35,False
2020-06-22,20,False
2020-06-23,40,False
2020-06-24,20,False
2020-06-25,20,False
2020-06-26,0,False
2020-06-27,45,False
2020-06-28,44,False
2020-06-29,0,False
2020-06-30,20,False
2020-07-01,41,False
2020-07-02,42,False
2020-07-03,22,False
2020-07-04,25,False
2020-07-05,24,False
2020-07-06,20,False
2020-07-07,20,False
2020-07-08,21,False
2020-07-09,31,False
2020-07-10,21,False
2020-07-11,0,False
